reception_prob,dpsi,dtlook,max_time_s,max_time_norm,avg_time_norm
0.6,2,5,121.18653846162569,24.23730769232514,17.197160650993613
0.6,4,5,73.07452830188795,14.614905660377591,10.070145155454721
0.6,6,5,50.31962025314391,10.063924050628781,7.568336459563474
0.6,10,5,34.02840909090547,6.805681818181094,5.659344316219188
0.6,20,5,25.11173076922718,5.022346153845436,4.461433843351944
0.6,30,5,24.576578947370727,4.915315789474145,4.0488172858998865
0.6,45,5,20.37057728119008,4.074115456238016,3.852764214074461
0.6,60,5,19.528603945373646,3.905720789074729,3.7742410671046445
0.6,90,5,20.651776315790524,4.130355263158105,3.9051664966456983
0.6,120,5,23.515501519757365,4.703100303951473,4.270406514199026
0.6,150,5,32.665131578949186,6.533026315789837,5.655822713772466
0.6,2,10,156.68333333327988,15.668333333327988,10.059550514264682
0.6,4,10,78.89716981125359,7.889716981125359,6.322987541015813
0.6,6,10,61.52687500001599,6.1526875000015995,4.990748617545486
0.6,10,10,50.25984848485541,5.025984848485541,4.3032158207730316
0.6,20,10,39.54423076923197,3.9544230769231974,3.6276298740052724
0.6,30,10,35.539473684204495,3.5539473684204497,3.479960327249983
0.6,45,10,34.56238361266176,3.456238361266176,3.3716060522634406
0.6,60,10,34.49081942337069,3.449081942337069,3.371628188837356
0.6,90,10,35.9475000000036,3.59475000000036,3.3914477941940895
0.6,120,10,37.24430091184825,3.724430091184825,3.5796038358293503
0.6,150,10,47.202631578942515,4.7202631578942515,4.233425471404763
0.6,2,15,171.31730769236495,11.421153846157663,7.448622956571009
0.6,4,15,97.56132075465666,6.504088050310444,5.16877217796427
0.6,6,15,72.14999999999804,4.80999999999987,4.140594716845401
0.6,10,15,60.4882575757601,4.032550505050674,3.7270149273768727
0.6,20,15,51.61923076923129,3.441282051282086,3.413740384615244
0.6,30,15,50.28855263157767,3.3525701754385113,3.301241666666555
0.6,45,15,49.27858472998772,3.285238981999181,3.23702950555998
0.6,60,15,48.965326251897565,3.264355083459838,3.20816480675174
0.6,90,15,49.553947368419756,3.303596491227984,3.2310341059201932
0.6,120,15,51.889984825492455,3.459332321699497,3.355532802763659
0.6,150,15,61.450394736838355,4.09669298245589,3.855448486208859
0.7,2,5,163.029629629602,32.6059259259204,17.654589987747034
0.7,4,5,68.25283018866328,13.650566037732656,10.769727201258286
0.7,6,5,40.013124999982516,8.002624999996502,7.0237171040203545
0.7,10,5,34.06893939392583,6.813787878785166,5.539133597140075
0.7,20,5,25.692115384612855,5.138423076922571,4.3796313725493725
0.7,30,5,22.675657894733032,4.535131578946606,4.01074621282881
0.7,45,5,19.80716945996156,3.961433891992312,3.841745650834736
0.7,60,5,19.365501519757306,3.8731003039514613,3.7708141169038094
0.7,90,5,20.800263157893298,4.16005263157866,3.893328233280271
0.7,120,5,22.56025835866798,4.512051671733596,4.210980758587258
0.7,150,5,33.22263157895033,6.644526315790065,5.552781578947695
0.7,2,10,140.80769230766379,14.080769230766379,10.232059995640567
0.7,4,10,76.00849056606243,7.600849056606243,6.196375914334764
0.7,6,10,67.54125000000109,6.7541250000001085,5.141318157759953
0.7,10,10,44.19090909093013,4.419090909093013,4.02489774360218
0.7,20,10,39.94692307692478,3.9946923076924783,3.660973822057417
0.7,30,10,35.11421052631138,3.511421052631138,3.4722999324745407
0.7,45,10,34.90353159851636,3.4903531598516357,3.3730855027241624
0.7,60,10,34.58381458966965,3.458381458966965,3.3470412923007773
0.7,90,10,35.10433639947154,3.5104336399471543,3.3709405832872577
0.7,120,10,38.63861911987345,3.8638619119873447,3.5671610417598174
0.7,150,10,45.824999999999534,4.582499999999953,4.261280323594499
0.7,2,15,159.68333333328056,10.645555555552038,7.481384362110769
0.7,4,15,89.57830188676738,5.9718867924511585,5.297436291637537
0.7,6,15,76.7917721518958,5.119451476793054,4.174432365480524
0.7,10,15,59.17499999998196,3.9449999999987972,3.8106871451233575
0.7,20,15,52.40807692307766,3.493871794871844,3.4181181668141045
0.7,30,15,50.04973684209447,3.336649122806298,3.2924124038770888
0.7,45,15,49.36124535315653,3.290749690210435,3.229340775777122
0.7,60,15,49.099165402122104,3.273277693474807,3.2119805690977596
0.7,90,15,49.64132720105068,3.3094218134033784,3.2260315397560544
0.7,120,15,52.694376899695605,3.512958459979707,3.3698763623616452
0.7,150,15,61.843552631570006,4.1229035087713335,3.794386459916032
0.8,2,5,140.98269230763756,28.196538461527513,19.855700623692584
0.8,4,5,84.75943396228203,16.951886792456406,11.470999674200852
0.8,6,5,87.44124999999995,17.48824999999999,9.740106231984432
0.8,10,5,39.87992424244476,7.9759848484889515,6.008114094234391
0.8,20,5,29.3073076922972,5.86146153845944,4.499857146209587
0.8,30,5,22.865394736842234,4.573078947368447,4.13136118015068
0.8,45,5,21.77518587360086,4.355037174720172,3.888770408970468
0.8,60,5,20.980045523520374,4.196009104704075,3.8717368944121686
0.8,90,5,23.97124999999962,4.794249999999924,3.979547607891253
0.8,120,5,23.191274658572798,4.63825493171456,4.2584982576992285
0.8,150,5,29.783421052639124,5.956684210527825,5.497846584473169
0.8,2,10,221.41346153855648,22.141346153855647,12.536835014421584
0.8,4,10,105.88396226417078,10.588396226417078,7.138843690183488
0.8,6,10,84.13312499998001,8.413312499998002,5.410954917977589
0.8,10,10,72.02954545456645,7.202954545456644,4.530091329436982
0.8,20,10,45.08211538462245,4.508211538462245,3.774805540178714
0.8,30,10,36.729342105260194,3.6729342105260194,3.494706431181238
0.8,45,10,34.81682156133753,3.4816821561337528,3.3861100297328015
