,dpsi,dtlook,min_dist_m,max_time_s,max_time_norm,avg_time_norm
0,2,5,48.80879041041957,140.98269230763756,28.196538461527513,19.83720989687674
1,4,5,48.69041820696616,84.75943396228203,16.951886792456406,11.470999674200852
3,2,7,49.155834688479956,209.00192307692322,29.857417582417604,16.0779574340161
4,4,7,51.35830130815057,91.91509433960218,13.13072776280031,8.833642857141582
6,2,10,51.24830271463403,258.2192307692946,25.82192307692946,12.725352504548734
7,4,10,53.95606624671379,105.88396226417078,10.588396226417078,7.138843690183488
9,2,13,51.56754708886198,388.0846153846037,29.852662721892592,10.457257470558416
10,4,13,56.41902669457377,114.51226415094061,8.808635703918508,6.361211629172083
12,2,15,53.020145681862886,281.1814814814685,18.745432098764567,9.083654692787828
13,4,15,55.68314127234053,126.50471698110331,8.433647798740221,5.690113420168125
15,2,17,53.60455198418752,430.91131284922517,25.34772428524854,8.61228864692193
16,4,17,54.850264602507494,175.65283018867072,10.332519422862983,5.778030166389026
18,2,20,53.62031971611729,359.1884615385878,17.95942307692939,7.740689125116512
19,4,20,57.14072128219411,130.3066037736198,6.51533018868099,4.8465664097670365
