angles,ipr,los_count,distance_cpa
0,0.812,94,"[array([48.69313087, 48.14578197, 42.28949788, 48.62876587, 41.4192055 ,
       49.57450934, 44.89039481, 47.18755197, 49.97636088, 43.32558518,
       49.32416414, 49.99912184, 45.82206628]), array([49.54174513, 47.74331221, 41.38357639, 41.55739597, 48.57364571,
       33.46779161, 42.50524022, 48.72366798, 49.2844808 , 35.54740769,
       49.51823577, 49.32665151, 49.87268577, 49.82288566, 47.6711804 ,
       25.00533561]), array([49.2220398 , 24.91324229, 35.88977739, 45.9221924 , 49.44144026,
       40.35205887, 45.74612678, 39.18339711, 41.10896904, 48.62390103,
       48.46438349, 48.64421421, 45.65332221, 48.37362366, 43.35578031,
       25.70416719, 46.68448996, 49.3802996 , 47.63380692, 24.83785504]), array([42.55142809, 30.62087388, 45.78366668, 37.25188434, 49.01542325,
       36.57650338, 33.10843834, 49.07304117, 46.98694909, 46.54124157,
       49.92121214, 47.43711598, 47.09679107, 45.1818854 , 44.72807259,
       49.09492404, 46.0362365 , 24.15400806, 45.40940072, 49.1872964 ,
       42.2857633 , 48.48979915]), array([49.90209925, 44.5059444 , 37.20670009, 32.74279164, 39.55837251,
       47.70960549, 47.86612159, 47.33002741, 45.17829084, 39.35091465,
       23.76472615, 49.29806117, 36.2493061 , 49.44541444, 49.58503989,
       40.29087079, 30.93289072, 32.58936195, 49.99195962, 37.40863442,
       44.60405118, 16.0359266 , 48.37127756])]"
2,0.984,8,"[array([49.77773386, 48.61987876]), array([49.4403304 , 49.88959836]), array([49.90920494]), array([49.40048564]), array([49.30126179, 49.98685886])]"
4,0.952,24,"[array([47.06012982, 49.64193331, 49.91390485, 49.95156191]), array([49.89913653, 49.77126253, 49.24140057]), array([49.24859901, 49.33693044, 48.98220396]), array([49.97221607, 47.61062648, 49.24376377, 49.58410657, 49.82147777,
       49.82105524, 49.69095354, 48.92695344]), array([49.02142964, 49.92509405, 49.97877167, 49.9059397 , 49.55207932,
       49.53150568])]"
6,0.934,33,"[array([49.62786978, 49.14877749]), array([49.9318705 , 49.73756669, 49.93021372]), array([49.84055396, 49.7030981 , 49.114725  , 49.69103772, 49.97108837,
       49.8387002 , 48.48324999, 49.82149128, 49.80241931, 48.84016358,
       49.66995593]), array([49.80785565, 49.37908934, 49.82713044, 49.72808122, 49.65726128,
       49.81315159, 49.98208697]), array([49.76328962, 49.74436743, 48.66534765, 49.62226003, 49.42499197,
       49.29039703, 49.63061751, 49.70042804, 49.59279951, 49.91265541])]"
8,0.878,61,"[array([49.27442591, 49.9184474 , 48.62005081, 49.48615908, 48.79965287,
       48.8810342 , 49.00961767, 47.71002053]), array([49.65495245, 49.16909842, 47.94271746, 49.21082278, 49.9485349 ,
       49.72910933, 49.95929347, 49.8143447 , 47.8518974 , 49.57830228,
       49.61784323, 49.3451879 , 49.78813092, 49.69764266, 48.40490973,
       49.00896146, 49.44426254, 49.76847523]), array([49.74782069, 49.836983  , 49.64046191, 49.82268189, 48.69635997,
       49.24993382, 48.06740244, 49.60426346, 49.43339406, 49.87119361]), array([49.31625745, 49.92037235, 49.80893993, 49.23437807, 49.44318057,
       49.49403114, 49.95488884, 48.70621049, 49.91701323, 49.79517951,
       49.16572418, 49.44749743, 48.53374281]), array([49.87621568, 49.76646056, 49.57281375, 47.49324423, 49.94044471,
       49.86248225, 47.99303939, 49.09188717, 49.55334494, 48.81290799,
       49.3459562 , 49.73399469])]"
10,0.882,59,"[array([48.74927581, 48.52584966, 48.33188453, 49.65007449, 48.59614081,
       49.13089193, 49.99451526, 49.94879612, 49.95983232, 49.41521874]), array([49.627679  , 48.23718022, 49.8568514 , 49.8340064 , 49.82164733,
       49.25530958, 49.7892779 , 49.7634456 , 47.74108584, 49.74956995,
       49.7985201 , 49.92098236, 48.51265349, 48.37925648]), array([49.89644661, 49.69162535, 49.25668104, 49.46362982, 49.12437726,
       49.22107759, 48.83248129, 49.29313569]), array([49.21551733, 49.92422958, 49.30106359, 48.85024066, 49.93954764,
       48.8348115 , 49.93943279, 49.30376586, 49.45275506, 49.51449531,
       49.47217588, 49.85248641, 49.78487216]), array([49.88302945, 48.53228821, 49.8948398 , 49.68763887, 47.83965194,
       49.70998866, 49.96456326, 49.68509162, 49.81421686, 49.89265379,
       49.85894869, 49.32611961, 48.90508074, 49.47378513])]"
12,0.84,80,"[array([48.9522235 , 49.61698697, 49.29555649, 47.91540968, 49.34430195,
       49.50786795, 49.53363095, 49.43420669, 48.3264438 , 49.36656027,
       49.80251331, 49.55326803, 49.23764084, 49.41959536, 49.5073419 ,
       49.44128654]), array([49.07277994, 49.19271947, 49.72222017, 49.09107045, 49.42571357,
       49.14238185, 49.55155901, 46.96335068, 49.50030875, 49.11503159,
       49.27295866, 46.75989566, 49.99373348, 49.41436145, 48.79442879,
       49.49498129, 49.37557574]), array([48.3969158 , 49.53173506, 48.1716209 , 49.26488131, 48.24196114,
       48.82518709, 49.64543423, 47.46776602, 49.660405  , 49.58387276,
       49.63133702, 49.1653481 , 48.70119835]), array([47.42156851, 49.29269922, 49.97972915, 49.80755342, 48.74924717,
       49.90331867, 48.29768456, 49.21593787, 49.0524046 , 49.21079541,
       49.22850787, 49.34620536, 49.43743612, 48.44417185, 49.50504733,
       48.20766874, 49.8846216 ]), array([49.78032563, 48.89966439, 49.36510314, 49.18574213, 48.01607101,
       49.43863325, 49.4111851 , 48.07505047, 49.66325886, 49.88830838,
       49.25969441, 49.63483259, 49.52721486, 48.85366513, 48.3401919 ,
       48.99404143, 49.02673574])]"
14,0.834,83,"[array([49.14416547, 48.56340767, 46.91539656, 49.86799464, 48.84614009,
       48.74469887, 49.76376801, 49.7255856 , 49.07975602, 48.19138528,
       49.7752083 , 49.92024378, 49.14546008, 47.93723454, 49.82936818,
       49.21490385, 48.16460681, 49.75873952, 47.51253544]), array([48.10549224, 48.61772105, 49.65127544, 49.79459216, 46.78294342,
       49.93571182, 49.89423299, 49.65706706, 49.47997119, 49.03076767,
       48.74106908, 49.17854342, 48.6619923 , 49.45228949]), array([47.90717791, 48.79428142, 48.39946226, 49.55474795, 48.19501884,
       48.22128183, 49.6525002 , 44.30283446, 48.19871198, 49.80608819,
       49.47083015, 49.56923458, 49.72778352, 47.70326074, 48.41556081,
       46.7028732 , 49.83818553]), array([49.043874  , 48.88452426, 45.89814574, 49.34847506, 48.22848727,
       48.72811646, 49.69492058, 49.42550002, 49.58123446, 49.31480804,
       47.84903447, 49.28499597, 49.64635322, 48.44307751, 49.65022732,
       49.86964949, 40.25198535, 49.24924436, 48.71257322, 49.7896985 ,
       49.47092158, 49.32494047, 45.8559969 , 48.47508916]), array([49.96799648, 49.6545077 , 49.21454676, 49.97342282, 49.6197094 ,
       49.97976563, 48.48833399, 49.11751803, 49.92448769])]"
16,0.86,70,"[array([49.46575637, 49.81376136, 48.11299036, 48.47554007, 48.97905107,
       49.34248695, 49.80911078, 48.63932109, 49.602167  , 48.71688349,
       49.41178834, 49.35088276, 49.72719242, 48.85954743, 49.18886074,
       49.75480964, 48.7655464 , 49.56249167, 49.79294011]), array([49.00232062, 49.46888731, 48.39694764, 49.75425467, 48.43691123,
       48.84699885, 49.82798236, 49.05838925, 49.34883275, 48.85476508,
       49.57899329, 47.96406461, 49.1241573 ]), array([49.64762594, 48.39475844, 49.50333838, 49.52382248, 47.79655655,
       49.51337073, 48.65332309, 49.7615855 , 49.81610544, 48.51680271]), array([48.56305056, 49.69286878, 49.5218439 , 48.37207833, 48.29241357,
       48.72727279, 48.98768821, 49.28492479, 47.32391191, 49.71088252,
       48.48326587, 49.40321274, 49.20976712, 49.09395441, 49.88592848]), array([49.96447306, 48.68118054, 49.91371225, 49.07719504, 49.75649956,
       48.26093374, 49.51225633, 48.86896088, 48.96446331, 49.1570372 ,
       49.2513597 , 49.62371762, 49.28905011])]"
18,0.836,82,"[array([48.967027  , 49.31435123, 49.30869508, 48.5462055 , 49.55079221,
       49.55407189, 48.3335514 , 49.6441961 , 49.2915687 , 47.24075409,
       49.24495241, 48.42162815, 45.05832078, 49.29080326, 49.27629641,
       49.59834659, 49.87219806, 49.6815914 ]), array([49.61102014, 49.56322692, 45.72873379, 48.11354347, 48.54303727,
       45.96764487, 48.04814606, 49.03553284, 49.31177241, 48.86302949,
       49.05064539, 48.0994159 , 49.8719391 , 49.80252355]), array([48.90856037, 49.45505496, 49.77148386, 49.64050462, 48.95254865,
       49.03661672, 47.92340692, 49.63727262, 49.15359993, 49.43010522,
       47.08218094, 47.36111297, 49.40274171, 46.48687663, 48.38897455,
       48.24923565, 48.93620457, 49.72062142, 48.40749677, 49.67340511]), array([49.17055354, 49.52119701, 47.64866706, 47.59070907, 48.90464647,
       49.11501171, 48.66595574, 48.98882563, 49.89563448, 49.43770992,
       47.19491288, 49.16898757, 47.46739253, 49.3038627 , 48.84382733,
       46.28280479, 48.55175373]), array([49.35168988, 48.48983115, 47.6981495 , 49.37266939, 49.62749386,
       48.10165137, 49.03255327, 49.32152786, 49.23375108, 48.72650858,
       49.60704154, 49.89146724, 48.89059293])]"
