angles,ipr,los_count,distance_cpa
0,0.692,154,"[array([48.89329394, 44.66947685, 46.31737626, 23.86360172, 23.53898133,
       13.16161537, 41.17803713, 40.75357774, 49.89332726, 21.34369245,
       40.88980164, 49.81406835, 26.47062719, 42.86730085, 43.62258083,
       26.82474014, 48.63910193, 48.88087404, 49.08335816, 42.59820026,
       40.45475137, 43.89535191, 49.44298756, 31.550207  , 37.92331285,
       13.73496337, 42.73252365, 48.22761167, 14.32511658, 34.07578067,
       10.19985495, 16.0842498 , 43.49863259, 47.16843128, 49.22895897,
       44.26537796, 45.80323296,  5.10390896]), array([48.00182851, 43.18446764, 24.11094353, 43.20079988, 33.04130977,
       34.46345853, 45.30723058, 48.88799647, 18.72730313, 33.22655595,
       40.20051023, 34.74837487, 26.79565243, 28.54858697, 46.60657466,
       46.32258406, 47.65934178, 42.08301293, 41.37804314, 45.18124333,
       39.9751847 , 46.3984061 , 45.91386166, 13.1382268 , 47.2337442 ,
        5.31108893, 41.58596686, 48.6488339 , 43.80304485, 48.16013637,
       11.78774951, 48.81673247, 47.78684528]), array([20.82336135, 45.31467934, 49.63480982, 17.85383283, 17.20606997,
       37.91154916, 46.73563882, 35.89468661,  3.57654264, 45.12063935,
       34.30375788, 39.33750059, 25.58768132, 16.72354198, 41.03120167,
       47.72352224, 48.75971625, 21.12529212, 41.75622457, 32.0612333 ,
       49.8747824 , 44.81307985, 47.78424351, 46.52891775, 36.10323908,
       32.7501473 ]), array([13.57516   , 43.75348482, 48.73693206, 44.18753741, 41.62687025,
       47.54152258, 32.69693117,  6.36751209, 48.88960511, 45.94408812,
       49.32230531, 10.27374766, 47.72058696, 31.21189163, 18.67863235,
       43.24270661,  9.02181696, 49.79066274, 21.89823502, 28.46522778,
       22.70613982, 47.42656557, 22.51560912, 46.9083122 , 28.13223815,
       27.6389182 ]), array([28.65750617, 44.9490536 , 45.22923183, 35.22345412, 37.8387353 ,
       29.07468497, 48.92498629, 39.84769018, 40.9611666 , 38.76913913,
       46.53595996, 41.67478632, 44.38949238, 45.44915005, 45.17476885,
       37.84971499, 49.6157565 , 18.35379249, 35.12941207, 33.17254179,
       40.53439649,  9.93794013, 49.33270514, 47.24309739, 40.38704308,
       36.97566889, 33.30660006, 12.54534948, 28.97235743, 43.97922784,
       11.31724463])]"
2,0.666,167,"[array([40.1161504 , 44.04147826, 42.131396  , 48.46278119, 36.1839199 ,
        3.83492657, 24.42414485, 33.27678667, 32.51475406, 46.9698734 ,
       29.69896741, 46.59052411, 48.36980756, 42.04706791, 48.15550719,
       35.77850154, 49.50226972, 48.02229463, 40.76958   , 41.52025246,
       41.53386608, 48.98949059, 34.82129489, 49.292542  , 49.68699923,
       24.83702823, 28.69942201, 38.60051607, 37.36157322, 49.89191075,
       43.64138787, 47.74206665]), array([47.64437793, 44.76915022, 42.27082088, 39.39740157, 47.71079564,
        8.60219579, 49.40829502, 27.73309157, 45.48473388, 34.54711562,
       48.45968199, 43.00857641, 44.49199045, 45.16956769, 46.28585868,
       48.50629593, 48.50283374, 47.24574781, 47.4161305 ,  5.47621724,
       13.75785858, 28.83736752, 42.08793044, 22.8491337 , 26.99255916,
       23.17053666, 42.39988061]), array([40.17583885, 31.62086031, 23.66703613, 46.48699783, 21.89091092,
       44.74508289,  4.53472519,  9.59994286, 47.01705934, 30.84332438,
        9.30796648, 15.68889163, 27.97686818, 49.39120195, 40.25041942,
       48.84352691, 15.73514415, 41.57292063, 33.1699952 , 36.84704457,
       41.85625915, 48.25979448, 37.24551969, 49.29162451, 49.37310251,
       46.75512461, 30.58698714, 29.53078914, 39.58876485, 48.54018585,
       47.50968847, 46.11445056, 47.89186626, 49.97841588, 49.43558409,
       49.72726021]), array([45.25746818, 32.43342752, 18.4600919 , 40.77004597, 42.82028594,
       44.24782224, 48.64535953, 36.40852955, 48.03563793, 32.16792028,
       32.51109803, 42.88576471, 28.2571745 , 39.85497115, 22.9560547 ,
        8.32409162, 48.81357045, 45.38097474, 42.87466329, 46.37406115,
       40.28700567, 26.48068358, 46.7492225 , 49.03767815, 48.62902895,
       42.65112427, 43.82254353, 47.46428118, 41.78769481, 41.11529061,
       44.41428826, 36.48721234, 31.79374651,  1.18033329, 45.08404196,
       44.73472312, 32.41560529, 47.96430561]), array([ 9.31604879, 31.97508689, 21.16679707, 45.90498476, 43.58774811,
       49.99923539, 40.36292963, 20.30295863, 47.91233409, 45.91339373,
       44.26964929, 33.33551666, 30.83694834, 31.8820912 ,  2.38144687,
       46.44646093, 48.74694383, 47.20191651, 44.14324014, 31.67132417,
       42.90840386, 24.29237717, 46.1198194 , 30.46713688, 48.50173344,
       49.15066161, 44.08927233, 47.63483793, 49.80561293, 47.29719739,
       18.96130026, 48.75551716, 34.2516341 , 11.10141124])]"
4,0.722,139,"[array([35.16789126, 46.34189847, 49.63159715, 49.13380188, 24.52964826,
       37.521934  , 49.23501402, 49.0284453 , 48.9088739 , 47.70417232,
       48.40603794, 12.70899965, 44.34782532, 29.38364623, 43.44736214,
       47.19340418, 49.45741616, 35.52410973, 23.11699508, 43.78313186,
       49.02440414, 23.53649752, 45.68199994, 41.36833232, 49.90765417]), array([48.42262379, 43.42086086, 47.59736034, 49.9905551 , 39.56888779,
       38.08789122, 39.34967544, 49.87608787, 47.90000723, 47.68029754,
       19.93522574, 48.09356057, 26.66446924, 46.55333155, 43.58651935,
       48.72157706, 43.3867098 , 47.10422812, 38.84295767, 41.18222783,
       39.03213976, 46.78388043, 41.70331002, 47.56516714, 21.62128665,
       44.96061403, 29.10409498, 49.60915725, 33.05836444, 48.67741377]), array([49.88733754, 48.63367881, 41.98493754, 46.77970418, 42.15597279,
       40.84892116, 35.49593967, 47.37041142, 48.00387326, 29.70133828,
       38.57631055, 46.11528507, 32.63679321, 37.10106117, 45.73374105,
       46.40227904, 27.35265976, 49.71936669, 36.01843381, 49.71575522,
       40.74262788, 37.40959195, 44.94599274, 49.38931139,  3.52935804,
       45.45269101, 27.57585981, 40.67053293, 29.29837368, 40.57969517,
       48.84248045, 19.4111291 , 49.8950982 ]), array([46.18732869, 38.68172478, 29.08049373, 49.92237595, 49.74307215,
       31.11340143, 43.58155527, 47.14590686,  7.81166165, 10.79017996,
       34.05819336, 45.86006534, 49.51492596, 40.7641615 , 43.62787972,
       38.87202243, 46.46465178, 49.39509228, 42.41522455, 26.76771634,
       33.45945967, 40.62250012, 49.7241291 , 40.43223764]), array([47.01760965, 33.29069387, 27.13110655, 31.27264366, 42.94470165,
       32.96753316, 23.09983559, 49.09716759, 36.03022189, 43.56711096,
       22.45764979, 42.50163291, 43.80435166, 24.16842858, 38.81466521,
       47.10448155, 48.70401913, 36.02205258, 46.47709003, 49.4321574 ,
       46.32502984, 41.78918384, 32.2806016 , 48.57988929,  6.62921139,
       29.42894795, 46.35827815])]"
6,0.754,123,"[array([40.65383954, 24.17576433, 42.04214053,  7.09723282, 49.15664119,
       42.59059995, 30.64916387, 45.7447072 , 13.77045824, 21.87557184,
       44.92161812, 28.77092587, 47.43206723, 40.04269223, 22.38988578,
       20.90873206, 49.96567359, 14.34112671, 46.78880194, 42.17460297,
       48.96516719, 39.28061895, 40.25197327, 49.67829362]), array([42.40030795, 49.66799764, 48.2965889 , 43.13525219, 34.03243565,
       17.27012406, 15.82671321, 17.3776718 , 44.74984843, 44.54265685,
       37.66370909, 48.12918657, 46.82145183, 48.72755274, 44.82395883,
       48.91915174, 42.59994077, 49.44085976, 49.47384413, 40.00702478,
       36.65741022, 38.69877683, 37.69204775, 47.05736984, 39.36680456,
       46.15172384, 29.73491416, 29.40116191]), array([17.10665017, 36.30839076, 21.60961569, 45.4317856 , 37.35865986,
       37.09954363, 36.96371821, 44.15694116, 30.89156593, 30.87052621,
       17.70465331, 46.3941158 , 27.86689353, 42.45884739, 36.9375554 ,
       24.94852771, 15.54233792, 40.84727085, 44.27576393, 45.03164703,
       32.08012266]), array([34.84044446, 32.94172344, 46.84209699, 49.73988985, 42.61152027,
       46.40831056,  9.31635307, 30.52388625, 48.82996705, 24.66065981,
       49.48720871, 44.07599328, 36.52864108, 48.30551052, 32.23910376,
       48.12218051, 29.06716155, 43.00089521, 47.12179835, 44.07043108,
       34.03984634, 48.28833665, 27.90762732, 14.17399205, 49.77684577,
       49.48208493, 47.59723276, 43.07301259, 43.8445953 ]), array([37.16285824, 48.55352962, 34.42743491, 38.31292394, 49.04337527,
       47.69048492, 43.6408734 , 45.78077776, 15.49952106, 44.53684262,
       45.14570493, 49.34219431, 45.5573583 , 36.16662052, 34.94595552,
       28.04126592, 48.05279975, 28.35689559, 36.19762088, 42.67231467,
       48.52720311])]"
8,0.766,117,"[array([45.35495431, 49.01613389, 43.89838338, 47.28241067, 16.7966109 ,
       39.18804473, 49.14886254, 37.75485455, 48.74351653, 15.24968452,
       36.97354028, 46.66200898, 38.76064266, 34.16782218, 49.77746704,
       29.6940282 , 49.65407016, 47.43204127, 23.86803592, 48.57475491,
       27.39329982, 37.21863146, 44.78187282, 33.67540477, 48.17016093,
       33.9344028 , 38.55159879, 48.85151009, 39.05249384, 36.49968007,
       40.42975334]), array([48.3076815 , 41.15177995, 27.90080237, 49.36087677, 41.06259084,
       45.05072137, 49.32128328, 37.27773167, 43.72408278, 30.66718344,
       47.13287394, 32.2890332 , 22.21444808, 30.16279959, 44.41091605,
       32.72812987, 49.3001966 , 45.60641192, 49.75800803, 33.19280476,
       41.21843271, 32.78847826]), array([46.42494398, 20.0246564 , 18.39224162, 32.25614634, 37.71072929,
       47.02405538, 46.81572817, 47.22084724, 34.6615878 , 48.03945699,
       44.61952683,  7.05715706, 31.30185665, 30.41102599, 44.70335779,
       49.9373764 , 33.28349046, 25.93685619, 41.09629935, 47.17172516,
       32.98268566, 22.26215346, 44.47501567, 43.32204954]), array([20.53126754, 46.03137337, 45.90209129, 47.27090799, 45.3969296 ,
       48.1091923 , 45.80669505, 46.618448  , 11.6236064 , 47.23390817,
       43.13197461, 37.76608755, 48.20719984, 49.382644  , 43.96505629,
        5.76432918, 47.91858091, 48.25557925, 48.55908878, 28.39372877,
        2.17972364, 35.92819391, 39.28954779]), array([ 4.69695574, 39.04049406, 43.04818179, 41.17565664, 49.2487743 ,
       44.16513062, 46.57655264, 35.95533419, 46.44332344, 39.40708908,
       49.77277035, 47.8724664 , 48.58204028, 17.2973929 , 46.26837568,
       42.62063398, 48.55427379])]"
10,0.774,113,"[array([44.13193817, 49.96884219, 43.00522186, 39.98593247, 48.96977972,
       49.67082275,  0.60423477, 49.03947575,  0.82763479, 37.52847057,
       34.53698105, 19.38605928, 43.81924482, 43.59309423, 38.47500476,
       21.66690589, 44.84541859, 49.05825567, 47.33189831, 40.07332001,
       21.69210968, 18.04973463, 38.35007611, 49.47384562, 43.69344893,
       47.91191003, 49.56290538, 25.04162766, 33.03905359, 47.86506401,
       10.67088064, 34.96180154, 49.92041574]), array([49.32338463, 49.62112709, 49.14802763, 49.47769655,  8.73903862,
       49.28681187, 41.86931509, 43.87957113, 38.28645383, 49.3485002 ,
       40.5969185 , 33.62345807, 48.28374328, 21.5081551 , 44.8330441 ,
       33.21397124, 10.49857473, 45.33200663, 40.92179982,  1.5645389 ,
       42.11665462]), array([48.49138934, 27.39653004, 31.17446323, 45.86394386, 45.62394357,
       45.1103036 , 48.63276233, 42.5217123 , 31.09535106, 36.36568612,
       39.65424437, 48.5258465 , 13.07133914, 39.97937298,  6.73696481,
       21.87411978, 19.60804296, 47.60953143, 32.39266758, 49.49201089,
       30.74602717, 22.90906959, 22.43196645, 36.95203643, 41.73005134,
       26.03970382, 45.67265517, 49.50038132, 44.1988348 , 47.30723934,
       47.23701457]), array([46.1487185 , 21.96767233, 49.85792732, 44.61394555, 44.19967516,
       41.26294433, 26.30971814, 49.65762605, 35.34754133, 49.86942406,
       49.09721406, 39.11337842, 15.65851901]), array([32.89335092, 49.48952663, 42.61069634, 36.86209255, 49.99063551,
       44.03912205, 42.65424113, 48.3467091 , 44.00367313, 36.92811234,
       39.08865603, 27.65707058, 18.00430753, 39.16757357, 47.26239333])]"
12,0.832,84,"[array([47.6272457 , 49.06241648, 49.37970946, 45.10329956, 44.63654458,
       48.42514997, 41.03841884, 36.96050936, 31.54880439, 47.08304921,
       48.96722059, 40.61798272, 20.91196397, 43.81435031, 49.70430682,
       31.81980796, 43.1456014 , 45.68238303, 42.35465621, 48.4291972 ]), array([39.57448452, 45.67812325, 21.29838562, 48.7793728 ,  9.76560753,
       37.9601803 , 36.05182952, 39.22999184, 48.12988957, 34.76747666,
       17.98980431, 47.19625397, 49.10389719, 47.97610284, 42.59345606,
       49.9512166 , 36.06379123, 44.76239684, 44.66806043, 48.60281573,
       27.58488189]), array([47.91635167, 47.65029844, 39.60688197, 45.25489523, 49.47078735,
       28.62437356, 48.51402595, 49.577664  , 48.19936603]), array([49.51215702, 38.25791199, 45.46819096, 37.14109459, 49.12925818,
       17.5224213 , 49.65779228, 40.51416344, 44.91541844, 47.71433847,
       40.23552451, 12.092685  , 45.21136874, 48.23264379, 40.97269925,
       36.36984111, 14.89422431]), array([46.69097986, 48.51570034, 49.9434371 , 44.90709868, 42.8196627 ,
       48.29931876, 23.1941508 , 49.98101626, 43.80839595, 38.09279469,
       48.44794357, 47.32975771, 12.21230645, 46.43266462, 40.69619204,
       12.60361833, 41.41155698])]"
14,0.868,66,"[array([35.28227142, 46.41473809, 36.7736922 , 45.14027941, 43.49709932,
       41.89513541, 46.13108594, 32.47798025, 28.97947626]), array([49.77353821, 46.94678076, 43.91582014, 49.89829585, 41.59619657,
       46.90542003, 31.11136532, 30.39794111, 41.26629505, 21.55868242,
       38.38606761, 38.47961094, 33.6989412 , 36.619601  , 48.84734688,
       19.7785226 , 14.69761313, 48.7523518 ]), array([15.21970596,  9.56333126, 49.79992724, 38.6689435 , 47.94404492,
       49.23371785, 25.90423968, 39.71832806, 45.5706369 , 35.7795714 ,
       49.22514905, 44.5189696 , 46.93187931, 49.48766455, 38.05458885,
       48.23416743, 47.2188022 ]), array([45.18978861, 36.14832951, 32.93783814, 44.90979444, 39.64849498,
       46.38721531, 47.52875574, 37.04352049, 39.70314393, 38.1274032 ,
       46.74610272, 47.22506943, 43.93550193, 48.52559335]), array([36.19089255,  0.51432458, 47.83144612, 31.76190949, 48.05984294,
       48.09039695, 30.55512743, 14.88423731])]"
16,0.918,41,"[array([49.96947591, 18.72139647, 47.75458641, 32.2428683 , 25.78271848,
       47.41028668,  9.81028139, 45.43698966, 17.75916408, 20.57411737]), array([44.87102693, 49.47063806, 47.17379126, 31.82995799, 45.54753788,
       49.83773068, 45.567091  , 47.75442009]), array([48.22051277, 48.25032295, 23.29951775, 46.93097004, 49.85088302,
       14.1482274 , 48.44900075, 37.63013839]), array([43.95382774, 25.16301269, 48.4323499 , 43.87588568, 45.80730436,
       48.40693678, 27.55594674]), array([39.65528924, 42.84815807, 23.50574957, 42.87167327, 45.92021147,
       48.63382707, 47.37999699, 14.34684467])]"
18,0.944,28,"[array([47.63590816, 29.20865725, 49.10258187, 49.38756727, 20.35703847,
       44.59614211]), array([49.22875798, 42.07348078, 42.80816594, 34.14072677]), array([38.09385543, 20.50007492, 45.56032367, 46.54636935, 48.39162544]), array([43.98042944, 49.87138298, 48.47854945, 17.40013486, 37.63915523,
       40.68633772, 33.71184367]), array([12.64653841, 42.70329225, 49.04342587, 45.85803764,  7.42683965,
       47.51203952])]"
