angles,ipr,los_count,distance_cpa
0,0.732,134,"[array([48.22104831, 49.30972231, 47.21223036, 49.17595238, 34.82075349,
       38.87354117, 47.78940996, 49.22643164, 45.62134068, 41.28270525,
       45.22201252, 46.60604337, 47.60707096, 47.0820807 , 49.57728945,
       43.77906458, 44.2367985 , 43.53963685, 49.72562468, 38.64957194,
       47.57888176, 47.36653925, 42.24188429, 41.16647523, 46.87890682,
       49.46218262, 49.14115631, 45.81231867, 39.57999964, 47.59621446,
       32.66632513, 40.87955279]), array([48.45214128, 48.63716764, 45.14897276, 44.60148594, 45.01714791,
       45.37538492, 45.62012205, 49.34825965, 46.64773189, 22.01953266,
       39.24897643, 49.42629694, 49.87391458, 49.91910568, 48.9438651 ,
       38.86122145, 46.10271566, 47.34270481, 47.22807893, 46.66041252,
       28.65559215, 46.0998571 , 48.16404752]), array([45.83293196, 47.35815372, 38.89508973, 28.77591511, 48.16898862,
       46.70482081, 41.52726131, 40.89669643, 11.14466628, 21.87285195,
       44.43171735, 47.1295691 , 45.83635055, 47.22249089, 46.04755827,
       48.54100318, 46.08655448, 44.93114046, 45.44498534, 39.21437263,
       37.56348376, 47.87327517, 46.05126334, 49.94621355, 39.41773375,
       28.1933246 , 46.10446014, 48.6679988 , 49.53370157, 49.71629627,
       49.59436115]), array([39.48740341, 49.93332513, 20.86348338, 48.18323697, 49.45480474,
       47.81681271, 17.59851232, 26.91662511, 47.04204139, 44.68555343,
       46.44425486, 48.27222091, 48.99635128, 49.18931324, 44.831876  ,
       44.84628911, 48.82056368, 49.54854628, 47.98557209, 41.76602185,
       46.4341088 , 47.04665355, 40.01262351, 47.60963536, 44.71535075]), array([49.46908609, 49.72949721, 49.66301208, 44.53877675, 18.77796404,
       49.55112933, 48.93637036, 43.08282885, 49.11114704, 49.51984534,
       46.39556473, 48.0285983 , 32.1294207 , 21.42545429, 19.74441643,
       45.96693391, 48.49474   , 48.5299074 , 36.05579683, 35.16298823,
       49.97342364, 49.63744706, 43.35935207])]"
2,0.99,5,"[array([49.97341571]), array([47.18051563]), array([49.65184711, 49.36051852, 49.40210046]), array([], dtype=float64), array([], dtype=float64)]"
4,0.992,4,"[array([48.70587244]), array([49.17968184]), array([49.66369076]), array([], dtype=float64), array([49.62034373])]"
6,0.994,3,"[array([49.67374591]), array([49.9167221]), array([], dtype=float64), array([49.45577326]), array([], dtype=float64)]"
8,0.992,4,"[array([49.89952553]), array([], dtype=float64), array([49.83769109, 49.17815422, 48.86184927]), array([], dtype=float64), array([], dtype=float64)]"
10,0.99,5,"[array([49.14744172]), array([48.95772079, 49.33388006]), array([49.71644483]), array([49.6964566]), array([], dtype=float64)]"
12,0.992,4,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([49.61124763]), array([45.95168914, 49.30813352, 48.53217799])]"
14,0.984,8,"[array([], dtype=float64), array([49.71668926, 48.3637762 ]), array([49.68821215, 49.84607348, 49.63569918]), array([48.58014069]), array([49.73174758, 49.77211953])]"
16,0.988,6,"[array([], dtype=float64), array([49.4745017]), array([49.60418647, 49.27805936, 49.91762443]), array([], dtype=float64), array([48.63391465, 47.67727216])]"
18,0.988,6,"[array([], dtype=float64), array([49.04092046]), array([49.74425192, 49.49808426]), array([47.35952896]), array([48.43436498, 49.30320004])]"
