angles,ipr,los_count,distance_cpa
0,0.906,47,"[array([48.76555708, 48.95810956, 49.37635827, 48.54577664, 46.17368418,
       49.6669851 , 49.61600781, 49.62947454, 48.71432448, 49.33592043]), array([49.88700487, 49.41199593, 49.95262463, 47.90489189, 48.78360006,
       49.9696658 , 49.98591524, 49.83606048, 49.56181747, 48.02357004,
       49.32066532, 49.61414781]), array([49.37010551, 49.29114067, 49.59145545, 49.58539313, 48.55158492,
       49.98339835, 46.61435583, 48.470226  , 47.4326381 , 47.11410577,
       49.48002194]), array([48.60726294, 49.5985578 , 49.92391732, 49.98506097, 49.58265468,
       49.59456382]), array([49.10087484, 48.95288411, 49.11359476, 49.36571741, 49.85805035,
       49.94942626, 49.99364058, 49.64877155])]"
2,0.932,34,"[array([49.97633958, 48.13252937, 48.23159136, 48.77421738, 47.95842442,
       49.85911952, 49.24706974, 48.7193223 ]), array([49.87105349, 49.81355278, 49.79368397, 45.74372833]), array([48.98040303, 49.88280653, 49.96623652, 48.97181311]), array([49.71859739, 49.48590362, 49.93578619, 49.17576279, 49.25977518,
       49.72378126, 47.80375638, 49.10090955]), array([48.64694828, 49.54049346, 49.82007748, 47.07638317, 49.96829508,
       49.77159183, 48.9670196 , 47.15486752, 49.53798497, 49.1611769 ])]"
4,0.922,39,"[array([49.09923545, 47.74491967, 49.61619348, 49.34279903, 47.06166382,
       49.69411403, 48.98677373, 49.74001868]), array([46.67513986, 46.78608717, 47.30459815, 49.41737764, 49.29857176,
       49.16525257, 49.96316468, 46.05691853, 49.49088844, 48.60206467,
       49.0870205 , 49.64054524]), array([49.15012044, 48.95133069, 49.49130308, 43.21598408, 47.35573429]), array([49.61931086, 49.58306524, 49.95715801, 49.97571615, 49.09668515,
       49.57557411, 49.99155595, 49.24123746, 49.95577412, 49.82201781,
       49.9032401 ]), array([49.87391483, 48.72100013, 49.42913815])]"
6,0.94,30,"[array([49.96120859, 49.11853071, 47.52563291, 49.83605709, 48.8835101 ]), array([49.49920616, 48.04385772, 45.31179943, 48.97056278, 49.32991401,
       49.17880103, 49.47098602]), array([49.29239878, 45.27930802, 48.1995733 , 48.3847939 , 49.6766879 ,
       49.87255441, 49.83289486]), array([49.94283938, 49.64797716, 49.58257059, 49.01696829, 46.46654915,
       49.62171702]), array([49.93751826, 49.66552864, 48.49055814, 49.52729984, 47.39604431])]"
8,0.93,35,"[array([49.06521919, 48.93077473, 49.46660706, 49.48207198, 49.46160989]), array([49.29989345, 49.15408087, 43.61153204, 49.45322558, 49.8074055 ,
       49.48505527, 48.92382561, 49.53565704]), array([49.07944561, 49.31239247, 49.30634915, 46.70103342, 49.66230856,
       48.98373736, 46.50166353, 49.51793553]), array([49.91095172, 49.64074492, 48.05831935, 49.68779255, 48.33590517,
       49.46263299, 49.84286776, 49.81485435, 47.44678956, 49.70267892]), array([49.81287034, 47.32727051, 48.20837563, 49.44664432])]"
10,0.924,38,"[array([48.71754323, 49.92771851, 47.59228111, 49.1101555 , 48.86678282,
       49.25324632, 49.67020069, 49.41334089, 47.84573255]), array([47.98387441, 49.95103777, 49.96814194, 49.82286954, 49.99211807,
       48.35690149, 48.25464205, 49.63967835, 48.53473743, 49.93034637,
       48.74354857]), array([49.82691847, 49.05936334, 49.81688242, 49.97034909]), array([48.64763655, 49.70495644, 49.20495821, 49.86046495, 45.79014555,
       49.87300372, 49.40489502, 49.14844443, 48.71255298]), array([45.88258807, 49.48872939, 48.64741587, 49.82665998, 49.26655394])]"
12,0.956,22,"[array([48.96801677, 49.89693193]), array([49.05701867, 49.79526649]), array([48.41042863, 49.4605388 , 49.56677537, 49.18506799, 48.94504964]), array([49.98734137, 49.59375451, 49.64279562, 49.78924065, 49.71567933,
       48.68707157]), array([49.52502718, 49.6573768 , 48.42908637, 49.66466386, 49.93977104,
       49.53671859, 49.24906898])]"
14,0.962,19,"[array([49.04614275, 49.3265972 , 49.62827673, 49.46501881, 49.20533515]), array([49.95899561, 49.67156333, 49.62429185, 49.92127258]), array([49.71348364, 49.71202239, 48.58351764, 49.96896868]), array([], dtype=float64), array([48.93156254, 49.7993327 , 49.2320757 , 49.05965429, 49.53179593,
       48.95930562])]"
16,0.966,17,"[array([49.03481148, 49.73614486, 49.7933611 , 49.74106357]), array([49.83446529, 48.72445459]), array([47.8385199 , 48.70210961]), array([47.58714429]), array([48.69327047, 49.46361388, 48.40619691, 49.50138599, 46.80333644,
       47.54259533, 49.73799145, 49.98917494])]"
18,0.986,7,"[array([49.06990553, 47.12372725]), array([49.89365564, 49.8860199 ]), array([49.97293486, 49.34704582]), array([], dtype=float64), array([49.38561244])]"
20,0.986,7,"[array([49.4356017]), array([], dtype=float64), array([49.57070334]), array([49.611719  , 49.99113174, 49.92716377]), array([49.28774903, 49.93024533])]"
22,0.994,3,"[array([49.08076861]), array([48.52582568]), array([], dtype=float64), array([], dtype=float64), array([48.41916224])]"
24,0.994,3,"[array([], dtype=float64), array([], dtype=float64), array([49.80439547]), array([49.85379318]), array([48.82834755])]"
26,0.986,7,"[array([49.935434  , 49.99507939]), array([49.97348554, 49.79515195, 49.87880881]), array([49.8142139]), array([49.82520132]), array([], dtype=float64)]"
28,0.996,2,"[array([49.83401475]), array([48.95749159]), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
30,0.998,1,"[array([], dtype=float64), array([49.3970672]), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
32,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([49.98657157]), array([], dtype=float64)]"
34,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([49.70874019]), array([], dtype=float64), array([], dtype=float64)]"
36,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([48.71690899])]"
