angles,ipr,los_count,distance_cpa
0,0.806,97,"[array([49.9904582 , 49.94601361, 49.98614657, 49.97058094, 49.91554053,
       49.94098942, 49.59714243, 49.96753969, 49.99903268, 49.96567973,
       49.60713385, 49.98182526, 49.97340455, 49.99376743, 49.89898622,
       49.95096172, 49.99860846, 48.44134309, 49.9724355 , 48.4796283 ,
       49.92343696, 49.98545945]), array([49.89095655, 49.97736401, 49.50149934, 49.89406454, 49.9638877 ,
       49.92128168, 49.91982796, 49.99417635, 49.98820473, 49.96256879,
       49.96253721, 49.87214796, 49.95842307, 49.99520311, 49.98060462,
       49.88249398, 49.99131375, 49.60181176, 49.9343197 , 49.96825438,
       49.9529489 , 49.97737305, 49.96968932, 49.94487392]), array([49.9770754 , 49.98930772, 49.99780871, 49.94612888, 49.9991387 ,
       49.93921124, 49.96899054, 49.99046952, 49.93963631, 49.95386403,
       49.88260938, 49.91834976, 49.94363771, 49.96209477, 49.96868479,
       49.96700119]), array([49.97784366, 49.94649768, 49.97985687, 49.94117616, 49.98178151,
       49.99767327, 49.97261312, 49.96690217, 49.98162776, 49.99124703,
       49.93617114, 49.93818853, 49.90002239, 49.65370095, 49.9873639 ,
       49.96538316]), array([49.91990732, 49.97295374, 49.87864452, 49.91932803, 49.91464423,
       49.96914075, 49.95353843, 49.88787371, 49.98459987, 49.90631581,
       49.98666357, 49.81343587, 49.68137041, 49.94686317, 49.49967189,
       49.96100641, 49.98550121, 49.98147311, 49.98581556])]"
2,0.352,324,"[array([48.10867435, 49.6347423 , 49.26951005, 46.91602087, 49.81592371,
       45.25044086, 47.90977999, 47.35876174, 48.36482513, 49.24805449,
       48.55715939, 45.47418882, 41.13133474, 48.97155565, 49.78921799,
       48.24874687, 47.88148995, 49.31043842, 48.18217232, 49.83008806,
       49.58645046, 49.950432  , 45.2049826 , 46.56763189, 47.69004888,
       49.44920789, 49.53150926, 47.15899401, 47.44083404, 47.45176513,
       48.44847834, 48.47298777, 49.26486413, 44.82209983, 49.99216941,
       48.23342118, 49.24257317, 48.89795699, 49.68986095, 45.86901008,
       48.67378171, 49.92466889, 49.3794437 , 49.22902339, 49.00900194,
       47.01327774, 48.22606733, 46.42813583, 42.22100919, 49.05054862,
       49.73067486, 48.43551341, 46.35021093, 49.30853622, 47.14830484,
       47.82288865, 45.41048786]), array([49.12600404, 49.17739359, 49.82934967, 49.67611213, 49.93873534,
       49.45881526, 49.29530249, 48.70344001, 49.75180716, 45.19814037,
       49.43727308, 47.02625593, 49.13661107, 47.94988626, 49.31546689,
       49.29644759, 39.91944848, 45.64235163, 49.11963242, 44.05160004,
       44.49474561, 47.9726973 , 46.42687128, 48.61526171, 49.80669716,
       49.64946092, 49.27751505, 48.20859128, 49.76118511, 48.60012668,
       47.21848866, 49.90355484, 47.51002847, 46.17634163, 48.07923697,
       45.8565725 , 49.50942435, 48.89624949, 49.29123927, 47.16692347,
       44.1288973 , 45.51631192, 49.5887712 , 49.59794779, 49.05289867,
       49.63693847, 45.44029578, 48.1520371 , 48.27842513, 49.93845316,
       48.01269015, 49.88532244, 49.50486236, 49.98916368, 49.83931061,
       48.97407208, 49.83254276, 47.68371514, 49.19456305, 49.48530959,
       47.29408582, 49.26359037, 49.12259225, 47.71628619, 48.30111831,
       48.46392376, 49.72811445, 46.95747313, 49.0392488 ]), array([47.43872268, 45.6769012 , 48.70878395, 49.4763105 , 47.17539546,
       49.44841539, 46.75901484, 43.5155716 , 49.65893809, 49.41551993,
       45.18775682, 49.49022372, 49.46446779, 49.19003778, 49.51785723,
       48.60135105, 41.68631799, 47.90816402, 45.57029026, 46.23414652,
       47.80035442, 48.78586999, 48.73131358, 48.7696879 , 47.56372516,
       49.54259353, 44.21339155, 46.65142372, 48.73586816, 49.70407117,
       48.65497696, 48.50430957, 49.19058854, 49.1922394 , 48.9851745 ,
       49.63753219, 49.75622204, 46.25072926, 47.39704412, 49.48198151,
       48.33744049, 39.95818006, 49.47470321, 49.07689867, 49.53855736,
       47.1728826 , 48.18601265, 46.0310954 , 49.73929758, 48.3789608 ,
       49.74185396, 48.49926105, 48.52841431, 42.4555019 , 44.49751259,
       49.65133101, 44.90617323, 49.08165002, 48.40591081, 49.79903701,
       44.60448249]), array([49.93611313, 49.55928022, 46.49710361, 20.93876742, 48.86875761,
       47.19860002, 48.11564198, 47.57504886, 48.81636024, 48.07614308,
       47.9599823 , 49.70617875, 49.58158555, 49.84635392, 49.73102919,
       47.90043657, 49.74063462, 47.81846998, 49.60730781, 48.30741956,
       49.70899153, 49.0890121 , 49.81019832, 48.50965985, 49.78177326,
       48.16913386, 49.69319261, 46.1284579 , 47.80397516, 49.07736497,
       48.42788325, 48.06436645, 49.53009817, 46.52261375, 49.30302776,
       47.61153694, 46.25609287, 47.45757724, 49.48793348, 48.02243576,
       46.44417163, 36.89149821, 48.95071725, 49.18422602, 47.54172742,
       48.44410905, 48.96351463, 49.64793263, 46.41915675, 49.00211181,
       47.62175302, 49.40866079, 48.31093612, 45.93809257, 49.51786314,
       47.02580149, 49.99403389, 49.13146019, 48.81850459, 45.99131646,
       49.12467737, 44.72611029, 49.73034482, 48.44996288, 48.98935071,
       46.07470194, 48.30796818, 47.25034466, 48.79917965]), array([47.84014359, 48.74160406, 48.80229151, 49.89951057, 48.46571715,
       48.57991301, 45.74966053, 48.45159744, 47.28453378, 49.53460677,
       49.36537115, 47.9972808 , 49.44387489, 49.59324537, 46.33219303,
       48.0016758 , 48.56391914, 48.85972581, 48.32622396, 37.23586715,
       49.80302872, 49.58510387, 49.1016249 , 47.13931248, 49.61180447,
       48.7207678 , 49.45940028, 49.14885962, 47.81290754, 45.56446357,
       45.66984602, 49.91725103, 48.90716664, 49.51009519, 48.65220013,
       46.26317175, 48.38877351, 48.160808  , 46.90006657, 48.60962642,
       43.05469018, 49.13036898, 49.81934574, 45.85129721, 48.40691682,
       42.94752518, 49.17442152, 48.61615032, 46.02796976, 48.03983124,
       44.63778212, 47.72039254, 49.84815605, 47.9001921 , 46.57199765,
       47.9882066 , 47.48423292, 48.50943001, 41.83588483, 49.30217212,
       49.79474761, 48.63531941, 44.0275824 , 48.38867708, 42.47092489,
       48.86543685, 45.67118408, 49.27080268])]"
4,0.676,162,"[array([48.16208309, 49.76283663, 49.24368385, 46.45173342, 47.83697721,
       49.64878915, 49.36014703, 49.76463486, 47.07306383, 48.81698332,
       49.83407272, 49.76236862, 49.58942004, 49.63019039, 48.99033039,
       49.61622238, 48.80329443, 49.70182489, 49.58617414, 48.46570378,
       49.98105158, 49.83098299, 48.93540619, 48.49070023, 48.52496928,
       49.41629417, 49.38822353, 49.43089005, 49.95076184, 49.8903466 ,
       49.18194714, 47.86523712]), array([49.23627102, 49.89616638, 49.70819812, 49.48132294, 49.46520835,
       49.65845902, 49.22420393, 49.60367121, 49.65982536, 47.61428944,
       49.78619281, 49.69975172, 49.75013482, 49.15067147, 49.89160645,
       49.73909638, 49.64960333, 49.8480389 , 49.87737396, 48.37429702,
       49.8040759 , 49.54337048, 49.61246779, 49.98542615, 44.01557723,
       49.91895238, 48.31440343, 46.48155112, 49.97745147, 49.87936579,
       49.99381278, 49.42855374, 49.62042373, 49.14595537]), array([48.9631038 , 48.4163426 , 49.93843406, 49.99610177, 49.8169737 ,
       48.53923791, 49.83296545, 49.67051395, 49.70078844, 49.95914383,
       49.51358435, 49.56027824, 49.54104758, 47.60716908, 48.76814532,
       49.91149151, 49.10554279, 49.36305382, 47.58227398, 49.76346106,
       45.88487517, 49.47925373, 49.14932278, 49.086929  , 48.58073657,
       49.74252496, 48.0277441 , 48.94629395, 49.33865662, 48.39769863,
       49.06600536, 47.67211183, 48.9169489 , 49.01796929]), array([48.40936794, 46.62403571, 49.35258291, 49.64123531, 49.90797847,
       49.59941401, 49.98262372, 49.98805463, 47.62259431, 49.07150369,
       46.99004225, 49.93167614, 49.41604958, 49.79628544, 49.80052448,
       47.78064716, 49.55913219, 49.46647104, 47.22145877, 49.62745251,
       45.84731649, 45.45596071, 48.0721987 , 49.93467674, 48.6919382 ,
       48.84843168, 45.38798717, 49.25612896, 49.38103273, 48.6219079 ,
       49.94865379, 49.47864763, 48.59660812]), array([49.86006604, 49.8335571 , 46.10047386, 47.69906631, 49.88385857,
       48.82166585, 48.9445945 , 49.48451002, 49.47110725, 49.74670317,
       49.99364808, 45.32042172, 48.97788688, 49.75206278, 49.2497022 ,
       49.99119635, 49.65422773, 47.95439406, 45.77160801, 47.31237541,
       45.90763514, 49.98638953, 47.61445234, 49.93971783, 49.03208833,
       49.72410825, 48.18766607, 48.23598156, 49.27213667])]"
6,0.838,81,"[array([47.2494803 , 49.66291452, 48.57839346, 49.50160606, 49.6152479 ,
       49.83801398, 49.91601735, 49.90313827, 49.13237321, 49.77054585,
       49.42285308, 49.73745852, 48.95431519, 47.40493659, 49.86560176,
       49.9012953 , 49.82332568, 49.58569482, 49.5475603 , 48.86489571,
       49.97720667, 48.02158242]), array([48.67747809, 46.68959822, 46.04724931, 48.0673662 , 49.99574511,
       49.96861351, 49.33458522, 49.97065296, 49.96202225, 48.5035355 ,
       49.67303094, 49.57345246, 49.0974131 , 49.63482504, 49.94493691]), array([49.19983326, 49.97290397, 49.86147696, 49.79190909, 49.77353119,
       48.7675886 , 48.50095143, 49.35635467, 49.88095152, 49.81844458,
       49.66797099, 48.31418447, 48.81963642, 46.38439141, 49.54352621,
       48.06285822, 49.72084239]), array([49.80088794, 49.80388371, 49.69061638, 49.23227923, 49.99989281,
       47.68672597, 49.75104148, 48.74786115, 49.5959722 , 49.327707  ,
       49.56923164, 48.66513375, 49.78125915]), array([48.62642907, 47.5675825 , 48.84374044, 49.79192185, 49.99905002,
       49.82378083, 46.66582427, 48.82465483, 49.7075145 , 49.51854363,
       49.70049178, 47.42007828, 49.54144108, 46.56583984])]"
8,0.92,40,"[array([48.48706116, 49.30276868, 49.89476372, 49.78293567, 49.43634012,
       48.85119305, 49.91765164, 49.83404504, 49.70840634, 48.64422852,
       49.51295026, 49.87231333, 49.87875527]), array([49.72704589, 49.2757042 , 49.18288092, 49.76307763, 49.57056215,
       49.30548814]), array([48.10754621, 48.98110795, 49.03715784, 49.99840013, 49.66958425,
       49.69107573]), array([49.99890833, 49.83077447, 47.89564388, 49.77026518, 49.3707432 ,
       49.18225017, 49.93328865, 49.82990795]), array([49.29381768, 47.06495341, 49.1932962 , 47.798624  , 49.87712462,
       48.95838008, 49.12957533])]"
10,0.958,21,"[array([49.72471098, 49.5582796 ]), array([48.9485563 , 49.66431265, 49.83765035]), array([49.85993514, 49.81913834, 49.83537082, 49.75276277, 49.5792316 ]), array([49.684349  , 49.82155905, 49.60626027, 49.1549014 , 49.72244708]), array([49.6052624 , 49.84488459, 48.85196724, 49.22043639, 49.69907364,
       49.6896648 ])]"
12,0.974,13,"[array([49.97236219, 49.90407157]), array([], dtype=float64), array([47.71716272]), array([49.41012554, 49.99922019, 49.88057048, 47.43714841, 49.70923056]), array([48.71157196, 49.60523097, 49.49263027, 49.91747444, 49.60397886])]"
14,0.992,4,"[array([49.90203965]), array([49.98681412, 48.66804703]), array([], dtype=float64), array([49.71985367]), array([], dtype=float64)]"
16,0.984,8,"[array([47.673282]), array([], dtype=float64), array([49.97935267, 49.46449844]), array([49.76535246, 49.7894605 , 49.83005648, 49.98075849]), array([49.17522491])]"
18,0.992,4,"[array([], dtype=float64), array([], dtype=float64), array([49.96669399]), array([49.30931201, 49.09205368]), array([49.16043887])]"
