angles,ipr,los_count,distance_cpa
0,0.948,26,"[array([35.61986264,  7.86063046, 48.57404394, 30.37851269]), array([39.9868117 , 46.91006673, 28.58481493, 39.81683128, 24.42073321,
       34.68268933, 13.30794336, 41.93838452,  6.37165661, 29.23857319]), array([35.87070518, 25.12566357, 18.39315409, 16.33608227, 41.21756817]), array([35.63354758, 41.10973776, 33.08225894]), array([34.44206839, 31.2251709 , 17.93123604, 34.62341995])]"
2,0.946,27,"[array([45.74358218, 35.2333739 , 13.08055004, 46.1491911 , 48.26511588,
       19.17754904]), array([15.87318308, 39.4287745 , 35.83996736, 45.41610076, 47.36458312]), array([47.13542325, 33.12676803, 41.82712637, 41.30289897, 47.9252542 ]), array([29.24511854, 28.13839278, 17.02652799]), array([38.54368946, 34.97137553, 49.04381667, 49.97013424, 47.16487764,
       34.77458183, 49.35406953, 33.10156879])]"
4,0.946,27,"[array([49.49099471, 37.48148719, 49.47174455, 48.58353059]), array([46.40837104]), array([47.97435721, 47.96506641, 45.36575207, 46.71854429, 48.86027085,
       48.60093402]), array([49.86085717, 46.25535662, 49.91926006, 44.77070994, 47.8261526 ,
       48.60259975]), array([48.59911532, 37.55036242, 37.95655987, 32.7871953 , 42.81483099,
       45.84988495, 47.49164857, 49.48091543, 48.11148984, 33.8239629 ])]"
6,0.912,44,"[array([48.12433057, 49.15317997, 49.67335463, 47.52198716, 49.96811942,
       47.78976027, 49.95543183]), array([45.474071  , 37.73469821, 49.40542596]), array([32.81269657, 49.75799599, 47.76706232, 49.97517739, 46.53447427,
       49.69323781, 48.55500932, 49.1708243 , 48.03920478, 49.83143088,
       48.23054875]), array([43.06171709, 49.91609992, 47.49203407, 37.02324155, 37.70245514,
       44.57538689, 47.03678323, 43.78943697, 43.11146782, 23.05402345,
       49.11010419, 49.64669421, 39.34416932]), array([49.52102092, 47.92866283, 49.92646938, 49.11521   , 49.17264745,
       49.08071258, 41.4766928 , 49.71490752, 49.7773179 , 49.69562661])]"
8,0.92,40,"[array([46.59057937, 44.35053726, 49.60028634, 43.76859781, 40.90961148,
       41.89021512, 49.36424062]), array([47.99951311, 44.821815  , 49.11274022, 45.31367378, 48.38340039,
       43.05134179, 49.31384402, 47.29686028]), array([45.49168592, 46.22016461, 48.14833544, 41.91897445, 46.81849925]), array([32.09021991, 49.39665103, 25.28316717, 48.08622159, 45.38202832,
       48.79007041, 42.38485731, 48.69853903]), array([39.12366748, 47.77068838, 46.00949695, 49.39296201, 40.33574834,
       49.52189066, 31.4798199 , 49.55748404, 46.69248645, 33.15049068,
       47.3807662 , 48.37444442])]"
10,0.934,33,"[array([36.78166801, 34.87599089, 28.91651016, 40.06884405, 46.75636425,
       41.94962999, 25.82899781]), array([25.07043852, 29.79519851, 28.53232113, 47.02173198, 49.52122842,
       20.3919193 , 38.77082318, 46.37495772]), array([47.67377063, 32.57299802, 39.63783755, 41.65882732]), array([47.80657236, 46.18820952, 36.42404526, 42.8938795 , 48.81937351,
       30.93044338, 47.24257353, 48.85011792, 44.65044943]), array([49.92224181, 49.43377371, 45.09944907, 44.73038674, 35.6229357 ])]"
12,0.886,57,"[array([41.234214  , 43.89948905, 45.74891936, 40.41065956, 39.48133958,
       42.87236633, 48.51270758, 37.00071563, 49.46785065]), array([36.60367336, 28.74354602, 37.29697651, 14.5683578 , 48.97879002,
       48.1778866 , 49.24338227, 32.18048315, 47.78165356, 44.4917301 ,
       49.66180206, 49.09182435]), array([48.63302797, 41.46589486, 49.60778787, 43.59045334, 46.2669861 ,
       43.93144902, 46.59704382, 48.99972694, 49.03227845, 24.4777049 ]), array([48.70669836, 47.67706312, 29.84675485, 47.45819378, 41.21487718,
       41.95001864, 11.27211138, 41.22475778, 46.67155673, 49.47631274,
       48.19062601]), array([48.39159047, 48.81151479, 37.15643875, 43.77044486, 35.2484118 ,
       45.02456232, 45.57761916, 28.88373462, 49.84400906, 46.28768123,
       45.6144377 , 49.983314  , 42.15281681, 28.11384015, 49.76803355])]"
14,0.9,50,"[array([47.46301267, 46.97214148, 49.34451136, 49.55043031, 46.29841475,
       44.32082327, 49.62951389, 45.50059998, 43.84913365, 46.34882217,
       47.85754962, 45.5370602 , 48.80870438, 33.90857921, 43.55790658,
       36.63404304]), array([47.7673559 , 37.82933541, 42.64343887, 45.3392707 , 48.4040554 ,
       46.67102951, 33.78013336, 48.64361931, 48.60288793, 48.51535983,
       26.25539253]), array([28.85619756, 49.52108651, 44.76896966, 48.96234068, 46.19040596,
       18.4605409 , 45.16842399, 47.68089044, 35.11388645]), array([46.36337844, 47.00128239, 49.22721756, 49.96828904, 47.47164466,
       45.96680656, 47.28629745]), array([46.43200416, 49.28697052, 37.3821158 , 48.04447272, 45.19614322,
       43.49722572, 36.0793189 ])]"
16,0.876,62,"[array([46.37507278, 48.8022395 , 47.65113904, 43.45767259, 49.43871125,
       48.68469641, 44.1563678 , 49.65880529]), array([48.98410993, 45.63642903, 49.87471503, 45.61405175, 42.96080835,
       34.53935002, 28.70884326, 35.99236551, 44.65063664, 34.08886168,
       46.43211971, 49.25632802, 49.24401055, 48.60802598, 48.59292591]), array([45.8906743 , 47.26345858, 47.41174572, 40.00678362, 49.83082541,
       40.41484268, 34.93399945, 47.46864819, 49.11383259, 47.61471565,
       30.79473147]), array([48.507715  , 45.47073506, 43.50805111, 44.94105019, 45.41182082,
       46.6507472 , 48.89984749, 44.8312068 , 48.42892858, 48.3402716 ]), array([13.56094995, 47.28391732, 49.14663339, 48.05643021, 46.47734686,
       44.67048202, 48.63742724, 31.59300243, 45.62203046, 49.39782109,
       49.73785914, 47.34126084, 49.95381447, 37.454363  , 47.04571392,
       47.83038316, 46.95631095, 45.77401498])]"
18,0.894,53,"[array([44.73565297, 48.10197054, 49.7477311 , 32.45009992, 39.23922825,
       45.62300705, 49.38081299, 45.59332769, 46.43080989, 48.57964286]), array([49.07284311, 48.6903492 , 49.50130229, 49.65339885, 46.82239757,
       46.58975333, 47.69893739, 21.84011642, 48.45163027, 41.67974956,
       35.94159567, 47.76970136]), array([47.84149528, 45.73400411, 45.44081822, 37.93719551, 48.47593743,
       46.53059134, 40.92319003, 43.56924901, 41.44422375, 40.07808867,
       44.75910267]), array([47.78425363, 48.1934409 , 46.58380401, 47.17292319, 46.83689164,
       45.28965606, 42.01113806, 48.50372074, 48.41959801, 49.67790055]), array([49.95604075, 45.45381629, 46.78591884, 49.69345842, 49.80217412,
       46.64700365, 43.92683732, 48.02003159, 48.40492156, 48.4046803 ])]"
20,0.87,65,"[array([46.36753003, 44.85295144, 46.53017032, 48.06458374, 49.899215  ,
       49.96493281, 39.32062672, 39.33818793, 41.79749389, 47.35143227,
       49.22892032, 42.56908836, 45.80949113, 49.12149101, 35.09664692,
       46.49189445, 23.79934005]), array([47.57125777, 45.90969091, 44.47351711, 48.30915109, 45.24965007,
       47.20050873, 41.64997724, 48.016043  , 48.74480716, 47.78632943]), array([43.63757066, 47.97246207, 47.87790464, 39.65363656, 42.97171314,
       44.64701974, 47.02461673, 48.47103702, 48.369314  , 49.15187686,
       48.62385053, 43.53334743, 47.8210688 , 44.91344899, 49.73586727,
       39.93904944, 45.90175016]), array([45.20925467, 44.47298122, 38.80081398, 46.38575563, 44.78891367,
       39.51678004, 48.93737944, 47.45739011, 48.68667696]), array([48.36318932, 49.77027939, 45.73392306, 47.76118801, 46.70403237,
       39.97782132, 47.7621143 , 35.56721198, 47.00584362, 44.55954838,
       44.68675807, 47.55676771])]"
22,0.876,62,"[array([31.86838211, 46.5876634 , 40.98088766, 46.37450546, 48.87649374,
       49.936233  , 47.20248226, 26.00899258, 48.40334959, 48.3445024 ,
       39.36562434, 47.62920612, 43.85190433]), array([45.93005215, 36.14197496, 42.17747951, 46.34886448]), array([47.27579787, 43.81951058, 48.49584371, 49.03972124, 48.4274075 ,
       45.13439632, 43.17829169, 45.57841906, 39.49408314]), array([45.86510126, 42.32714642, 42.61915352, 46.48485433, 46.19807316,
       45.36089312, 45.39589204, 48.17595797, 45.7409507 , 46.18603612,
       48.48740754, 34.47220382, 43.7737392 , 48.65986284]), array([47.65642324, 43.72981687, 46.87732227, 45.80467428, 49.38458484,
       47.62719318, 47.05098861, 43.03564386, 46.41479236, 46.18202605,
       42.99254455, 46.28772334, 40.69718054, 38.94520858, 45.68912411,
       49.4619504 , 48.20393798, 35.50648812, 48.56283929, 49.1771573 ,
       42.93477415, 48.41292146])]"
24,0.932,34,"[array([37.03906481, 47.11014638, 48.55716809, 46.83054634, 42.86268883,
       48.61210836]), array([49.51372494, 49.64510735, 45.19053311, 39.58465415, 48.99852007]), array([36.49946587, 38.37250572, 23.86175272, 49.7110513 , 49.90536087]), array([36.23097191, 49.51676275, 49.17799912, 49.27142797, 39.59869426,
       49.92462981, 32.39358207]), array([48.5352201 , 43.33379629, 47.07767465, 48.83325015, 38.10648386,
       43.44175371, 39.83508561, 37.56785049, 48.42488713, 49.63545641,
       46.44034542])]"
26,0.894,53,"[array([44.26345138, 47.16525298, 49.30553364, 46.84475514, 43.22388033,
       46.66519722, 22.95549548, 48.05885247, 48.07041258]), array([48.52666561, 48.27825101, 39.02853094, 42.97340581, 32.83754534,
       49.73493269, 36.60239144, 43.23480404, 49.95903695]), array([44.84551699, 28.2754998 , 46.74006686, 49.29238547, 39.43289859,
       44.7102368 , 47.92461029, 40.17361591]), array([40.45655314, 43.46321875, 45.48050785, 33.60161186, 46.88569064,
       46.61636105, 31.5426664 , 38.66968149, 33.85848856, 30.83166915]), array([48.85395145, 35.1682404 , 40.14708022, 49.59133314, 47.17209099,
       48.99643679, 43.73493658, 44.58061441, 47.09564839, 44.98459858,
       46.7172834 , 49.22957525, 39.6286862 , 48.89862818, 44.81694428,
       46.9966845 , 33.58412491])]"
28,0.924,38,"[array([35.19078318, 43.05957158, 48.19747276, 39.55933397, 34.79609352]), array([40.02530366, 44.28869184, 45.34185286, 30.35678591, 43.7701073 ,
       33.49709878, 31.54810814]), array([38.70748704, 49.94728479, 47.75843547, 42.98853684, 48.31916553]), array([47.72008642, 35.19433443, 47.96349091, 45.22998447, 31.55611545,
       45.72861465, 38.90533389, 44.98819767, 45.28713472]), array([48.11007569, 47.74664032, 25.89835618, 48.15126629, 39.89265885,
       33.1221754 , 49.90997045, 39.00539692, 42.40609087, 49.85032809,
       46.65987876, 48.25809723])]"
30,0.928,36,"[array([46.9729257 , 49.77164499, 48.69315845, 46.70438196, 49.4992722 ]), array([38.75679328, 40.00152311, 48.48833398, 44.52757089, 45.99935065,
       49.64829362, 49.79956172, 48.33696901, 38.38282119, 47.62709545]), array([38.6867437 , 39.83863329, 37.70295851, 49.41948093, 42.73944714,
       40.81883146, 47.93698221]), array([41.00740805, 39.10564002, 49.68735621, 48.34983484, 45.99147097,
       34.928045  , 49.53650433]), array([49.10932073, 42.82826507, 39.48056236, 49.71107449, 49.52057247,
       46.43367096, 49.05395353])]"
32,0.952,24,"[array([38.34181085, 46.8923411 , 34.12857405, 45.59675231, 27.59588759]), array([32.38327861]), array([38.03176642, 44.09268648, 41.0026834 , 41.84785486, 35.96774417,
       38.29694467, 35.59970572]), array([35.85631275, 30.90652464, 35.23364447, 38.43236214, 47.41878604,
       27.23400734, 39.00582827, 40.90289338]), array([36.98319029, 40.44398989, 45.99032471])]"
34,0.924,38,"[array([49.22560699, 45.57576469, 41.64231009, 37.79406554, 43.02846472,
       36.82549181, 29.70258111, 39.98850426, 38.59854164]), array([40.65286953, 41.31597953, 47.50373312, 44.07024524, 49.65740579,
       37.95253041, 42.01455582]), array([37.80686566, 42.30864917, 33.3405176 , 35.6282227 , 49.2610603 ,
       49.31644854, 48.07464803]), array([34.92148421, 35.25980363, 42.200441  , 40.36063241, 14.33932539,
       42.92776965, 35.37082674]), array([29.23166987, 49.75921185, 48.75933369, 48.39968792, 49.47519524,
       40.27773798, 39.70946627, 48.28557213])]"
36,0.932,34,"[array([36.53452138, 43.65941356, 48.72616734, 47.90507054, 47.51168032,
       35.5902798 ]), array([33.54367573, 26.72617316, 45.27396038, 42.07753968, 45.5489279 ,
       26.32967462]), array([36.73798239, 47.57294921, 43.39617671, 40.8965834 , 44.12835915,
       42.37564072, 37.12236464, 30.47129858, 29.94722167]), array([49.06130541, 47.41806917, 46.22526642, 45.88943376, 44.46326346,
       45.13437819, 37.82326408, 47.9941681 ]), array([38.02314521, 48.79137149, 39.55975545, 49.9315857 , 49.7414378 ])]"
38,0.952,24,"[array([48.25592753, 36.14150387, 42.55459223, 25.88168926, 39.76088649,
       49.60257066]), array([44.98195777, 37.96941548]), array([42.44701668, 25.08141062, 43.80852316]), array([35.8906091 , 49.93269973, 43.44717158, 45.07965747, 49.59914146,
       37.78200592, 41.53429678, 49.17858556]), array([40.48758749, 42.69778821, 49.39981677, 41.74555008, 43.31372512])]"
40,0.954,23,"[array([49.60516804, 26.3024417 , 26.16912078, 39.52531133]), array([32.41297955, 48.67649881, 48.72674333, 28.27955851, 33.29081   ,
       41.12465233]), array([38.98049513]), array([41.74811777, 23.06481458, 42.51267584, 33.89546218, 42.75969007,
       36.77835131, 32.82780941, 25.62090845]), array([42.48278288, 43.66446273, 45.58630308, 48.75105185])]"
