angles,ipr,los_count,distance_cpa
0,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
2,0.992,4,"[array([36.82702491, 36.82686138]), array([36.33800012]), array([], dtype=float64), array([48.73202028]), array([], dtype=float64)]"
4,0.96,20,"[array([40.61004332]), array([31.11107019, 46.32395146, 33.03384831, 42.76164303]), array([41.459075  , 32.13258424, 42.06037921, 40.62152886, 40.61026261,
       42.09131889]), array([34.4269401 , 41.85677682, 44.477912  , 44.15975475, 42.76162281]), array([46.67586113, 43.99581607, 41.51856578, 49.6085615 ])]"
6,0.818,91,"[array([47.85247328, 49.77035774, 39.09582554, 47.96873464, 35.58955734,
       45.07712195, 48.96402151, 48.83439019, 43.66905211, 44.85498632,
       49.64948672, 43.06424298, 34.78555091, 48.18113061, 48.95960873,
       41.87334075, 43.84371934, 48.32568005]), array([37.28324643, 41.22040016, 45.43332911, 47.90430184, 35.77989496,
       49.77318265, 46.77253282, 43.03250878, 28.47094684, 48.74325551,
       33.940622  , 48.74737333, 30.54612562, 31.89870644, 33.63537114,
       37.62559324, 49.22324119, 38.92500778, 38.54100258, 48.78648607,
       35.94195086, 40.38543882]), array([34.36857161, 39.95983808, 43.06016759, 39.14172977, 28.6324929 ,
       35.02198598, 33.12699588, 35.30566056, 45.4451709 , 42.66210952,
       34.10124843, 34.53404251, 31.22452566, 49.72492063, 49.72252024,
       47.83755672, 28.26851692, 49.58002852, 30.21363601]), array([44.18692867, 46.87262056, 45.03945489, 46.14863949, 47.35340527,
       32.4891565 , 41.27656949, 34.83608134, 48.86597588, 45.38729008,
       48.42158028, 48.40009207, 43.00427739, 30.21383639, 35.78061542,
       48.74167123, 49.59505391, 37.24609551, 40.63934624, 42.71426   ]), array([46.42776178, 49.64233138, 34.23429598, 33.3021568 , 49.92658499,
       40.46771905, 49.28720546, 42.7873923 , 33.24331602, 41.97550254,
       36.99515397, 48.3087824 ])]"
8,0.828,86,"[array([31.48280391, 49.20134532, 46.92364465, 43.45806854, 47.46456233,
       26.8256688 , 40.15723704, 44.42235944, 34.75387351, 48.58587981,
       49.92187268, 47.80716281, 46.44737903, 37.8630008 , 45.91335056,
       14.22904285, 44.00451163]), array([34.17525758, 39.73896125, 41.03843757, 34.22795692, 44.34172163,
       43.34537884, 45.76463199, 46.22535181, 36.85795119, 49.25439688,
       39.21306235, 49.49276851, 31.46854556, 48.09658361, 48.89531987]), array([49.77326025, 46.98070676, 34.48788382, 41.28420407, 42.53372739,
       47.68184691, 42.94435603, 36.17165142, 47.38323302, 45.64896412,
       38.71496522, 40.08426321, 34.50896921, 47.90841889, 42.59239702]), array([47.2025889 , 39.25008388, 48.34944038, 48.05098398, 48.70061121,
       37.77597933, 48.01938094, 44.97333924, 36.95935595, 42.40261066,
       31.43134341, 36.30842326, 32.07616617, 46.07623496, 49.48615719,
       48.8620852 , 35.37312647, 36.37756354, 38.19737111]), array([32.92925837, 39.60767907, 44.37145342, 39.19820016, 31.40038476,
       44.25393731, 46.65013192, 35.04657765, 35.53668772, 45.79491216,
       18.56607967, 43.47803123, 46.34970742, 34.70984686, 43.60580544,
       34.66159026, 43.43660723, 10.68736231, 38.97606489, 44.32792141])]"
10,0.814,93,"[array([34.9764971 , 49.22695061, 31.09554069, 42.92214756, 33.21630433,
       45.58073481, 36.43916313, 31.24805356, 29.30371474, 35.89482728,
       34.23105826, 27.7907762 , 35.82742729, 42.47211242, 39.42857357,
       44.22899945, 35.71230706, 43.21639337]), array([44.92867382, 39.17213933, 46.89988891, 31.78556454, 31.90294194,
       38.0197043 , 38.91888741, 43.68235234, 37.76905067, 45.16284439,
       41.90513886, 40.2743917 , 41.05025879, 31.41605831, 41.3979644 ,
       42.3000156 , 41.06077913, 32.82347228, 40.31294034, 43.83660813]), array([32.73958237, 45.7742643 , 33.49900542, 33.37638696, 36.14484834,
       37.39396408, 36.95493033, 41.44079683, 31.00822536, 48.56436654,
       33.55991124, 43.72325737, 29.21549869, 39.44432211, 49.93079545,
       31.52430504, 33.66728805, 41.6842251 ]), array([49.7925892 , 49.94349445, 39.19318475, 24.86857024, 10.2899716 ,
        4.57638867, 33.03356575, 41.59866118, 34.61869613, 29.6495487 ,
       48.04940705, 45.38537688, 41.11528341, 49.55846909, 40.26757402,
       46.77702024, 36.02540472, 27.24100365, 41.08557892]), array([40.3813019 , 40.14817173, 40.49562162, 44.07176512, 31.1301248 ,
       29.91579655, 44.23397733, 46.09804289, 34.20173013, 44.11935045,
       41.29480567, 37.89552379, 40.57073288, 34.19660276, 40.31879084,
       45.72000622, 34.85130894, 38.67766892])]"
12,0.698,151,"[array([45.84194854, 49.0428114 , 39.02619729, 42.14260251, 43.8313996 ,
       39.93728014, 43.962     , 48.80148218, 35.40454239, 39.61411901,
       44.35844725, 47.66795747, 49.75201875, 40.26392511, 34.64961896,
       49.96639796, 44.20684388, 35.95216702, 35.73489996, 43.31421837,
       48.81872138, 46.41513018, 39.85397961, 32.68886827, 44.0609944 ,
       49.30203226, 37.2028118 ]), array([48.73734718, 40.50431254, 44.21936342, 38.926193  , 30.81267273,
       43.12623705, 44.30191988, 36.80698888, 48.8945827 , 44.96491692,
       36.36513082, 33.75753654, 49.69017805, 47.55667042, 48.47039242,
       39.0448738 , 47.40636427, 46.08214778, 44.06298843, 46.09481218,
       38.46510959, 33.87927381, 41.0670104 , 36.61108489, 43.08130052,
       43.71192549, 35.19741751, 44.40594957, 45.26389407, 45.0026374 ,
       49.83712229, 41.88350767]), array([31.77170294, 49.70777346, 19.77759546, 43.14549007, 29.5770369 ,
       28.72062335, 33.79018831, 35.58058123, 34.94586469, 49.2816705 ,
       48.89554563, 32.65471837, 42.44012857, 39.05958263, 40.90430145,
       34.27456692, 35.73151014, 45.97578376, 34.3812617 , 42.08219516,
       44.10002583, 36.53577651, 40.60466421, 44.72760109, 38.80109395,
       43.59124585, 41.66826017, 47.73092415, 41.56685196, 43.44587279,
       40.8797659 , 43.98456317, 28.48438059, 33.95477456, 32.10271916,
       36.21674924]), array([35.88985866, 47.54076004, 44.3272381 , 41.80964134, 39.10336209,
       49.54332024, 45.4961337 , 44.53137455, 19.59843031, 47.95810255,
       47.88895337, 46.18245127, 35.46627598, 33.9710688 , 40.07299583,
       48.263958  , 41.70424582, 46.0519639 , 44.48869426, 46.40168736,
       41.79254274]), array([40.82587135, 41.87535781, 48.83467356, 37.80190858, 42.44583453,
       43.14087618, 38.78976636, 42.80291079, 26.92600609, 44.97279215,
       41.88651574, 41.66160178, 47.50133541, 30.37946955, 48.13234117,
       33.07953401, 39.04295703, 43.95101044, 34.57392459, 41.34532204,
       26.34091007, 35.33377646, 35.54607082, 42.53057235, 39.00336017,
       42.81116449, 38.8206831 , 43.23514126, 48.21326286, 36.56226915,
       38.97594733, 48.53219145, 46.70691949, 33.34102603, 44.79780039])]"
14,0.558,221,"[array([48.53054033, 47.06883869, 40.95653095, 41.9296669 , 44.25658417,
       47.43293446, 44.44899465, 47.21520249, 48.83099796, 43.87875053,
       47.521543  , 49.11768662, 49.88892437, 43.0485127 , 44.58436127,
       48.94188639, 38.27108653, 42.99157131, 45.1818664 , 40.63658462,
       46.10115835, 42.68933527, 46.7694339 , 36.44027006, 43.26852037,
       49.41615479, 43.65035965, 45.57896225, 38.12707306, 46.44513188,
       46.86664462, 47.11090403, 42.38059646, 46.90579044, 46.08473741,
       49.79916592, 48.01404039, 46.89694198]), array([46.41630863, 47.19868621, 38.13806744, 49.26985307, 42.16076202,
       44.7657613 , 43.72965181, 42.49953504, 42.74024524, 43.76773596,
       46.35176093, 44.53220703, 41.74594306, 46.28119074, 42.32778078,
       40.00169611, 47.00757865, 45.43278896, 46.29473405, 42.98784532,
       46.04552427, 36.40476612, 45.67228634, 30.37463952, 44.83957558,
       44.95564047, 35.27111808, 49.66039886, 48.8037702 , 47.52005997,
       47.08512477, 41.35203212, 46.66013945, 46.80127083, 43.06367903,
       41.14460153, 41.92796376, 38.72810108, 45.141278  , 47.97736464]), array([46.31885582, 43.11550274, 45.40033078, 32.12758709, 43.50537623,
       26.75787893, 47.04028269, 34.56966508, 42.97381715, 40.82056559,
       33.09165398, 46.84799697, 45.29187747, 47.62270108, 41.49091677,
       35.11728194, 47.94424347, 47.81888218, 42.52208653, 31.44574561,
       47.87005043, 43.39698862, 39.86309158, 42.08677012, 45.49678316,
       46.40184299, 49.66247807, 42.73030854, 45.14954169, 36.61585563,
       38.30846432, 48.47042429, 41.91298286, 43.59532379, 49.03049976,
       42.61292415, 46.4189255 , 44.34034889, 41.48537759, 47.95467292,
       43.09364303, 49.92406263, 41.95979037, 42.46929813]), array([40.0767529 , 43.33967412, 45.73196521, 40.73090932, 43.82074027,
       48.24876376, 42.51297267, 43.67287321, 36.09448964, 47.06631337,
       46.99188224, 43.30632433, 38.07313628, 49.22284971, 41.47981432,
       45.26027693, 47.43740144, 45.54924816, 48.67854086, 46.64616959,
       47.15644767, 47.61649268, 49.94291868, 42.08430779, 42.81148763,
       45.48531436, 46.11270772, 42.10702811, 38.46606123, 48.59655837,
       44.85383755, 45.0973988 , 49.95955706, 45.91492605, 37.26929502,
       46.31749276, 42.56972561, 46.9857693 , 47.31192304, 44.40314454,
       43.72960193, 43.14279079, 48.27412095, 44.62110265, 42.83989375,
       44.26691087, 41.48213792, 42.96520067, 45.19926901, 42.19751615,
       43.55954859, 43.25665772, 37.97607583]), array([43.48608458, 48.43858658, 45.59619872, 42.14764982, 49.10452332,
       47.97043411, 44.12743306, 47.90989408, 49.60714512, 48.21976177,
       47.00239057, 43.10398369, 47.87150729, 48.90362998, 42.91251708,
       41.17484343, 45.35008134, 42.44201817, 44.2884588 , 49.10946285,
       43.1746734 , 47.78841675, 47.0705074 , 44.5514604 , 42.61596312,
       41.80214178, 42.76839327, 46.63047288, 48.58889218, 47.97737579,
       46.35920242, 47.16422721, 49.43715061, 43.2010657 , 43.3221416 ,
       39.2231588 , 43.97495291, 46.38101874, 44.19483045, 47.80497524,
       43.89294321, 41.22440498, 47.30393741, 48.17069933, 45.2593775 ,
       49.83224152])]"
16,0.47,265,"[array([49.93652305, 44.58136657, 49.75711315, 45.14039264, 44.86204337,
       43.99253824, 48.8814018 , 43.61169438, 44.90464093, 28.22002114,
       44.25352604, 43.864256  , 43.91337084, 47.20442819, 44.9474811 ,
       47.95121248, 48.14798708, 44.11490411, 44.90909761, 48.78612674,
       49.20505984, 44.44595766, 48.48673157, 43.26840879, 44.38897087,
       43.05682986, 48.3318658 , 48.20092989, 44.29475401, 39.21565213,
       45.30232005, 48.1803717 , 45.78002893, 43.80070646, 41.05252692,
       48.58411954, 45.57806881, 44.12086527, 45.35738289]), array([43.59584541, 44.29372952, 40.99638985, 46.72443304, 45.40846907,
       44.26613379, 44.26693984, 49.20740907, 47.05282535, 46.24564925,
       47.85797562, 45.10187106, 47.33474374, 46.94187717, 44.13314946,
       47.087466  , 46.94939949, 43.4546036 , 44.43291489, 44.54136206,
       37.33888452, 49.23065819, 46.50623232, 42.62922207, 42.60841408,
       44.09783422, 47.00775496, 49.44176425, 44.91957189, 43.56514889,
       45.7889249 , 46.85374902, 43.86951803, 43.16912533, 48.98940831,
       41.62283619, 43.99501938, 42.63470289, 48.0726837 , 43.42358027,
       43.98850222, 49.81105658, 46.05673603, 47.08146299, 43.99630826,
       44.1717927 , 44.831307  , 43.42094689, 41.96261904, 46.90645741,
       45.76997455, 45.61766688, 43.49665582, 45.06937606]), array([42.94254152, 46.00635151, 49.65126922, 28.05588344, 47.87972782,
       44.3839712 , 44.48737591, 38.23383796, 43.59336486, 40.72079294,
       43.84994702, 48.30120403, 44.20468828, 46.21398141, 46.13045371,
       49.08203151, 45.36056874, 46.77766606, 49.56965245, 48.96989052,
       44.37901038, 45.56582989, 48.60876193, 43.4532396 , 44.61339715,
       44.48425806, 44.42248615, 43.82917808, 46.03471055, 45.53147493,
       43.85548366, 44.07496013, 40.76334341, 44.19403157, 44.67895797,
       45.88004211, 46.15562431, 44.3958742 , 44.38434823, 44.63262759,
       49.01692563, 49.1729169 , 46.82762017, 48.51928568, 44.95257169,
       42.67216043, 47.50554437, 46.43169953, 44.97599411, 42.12481506,
       46.58496858, 43.42780153, 48.57878408, 47.73179415]), array([49.09478058, 46.55177465, 45.98140399, 44.62907727, 44.30070056,
       47.73669268, 43.56926098, 44.23970614, 45.31604669, 45.06688074,
       43.8371349 , 45.22287248, 46.86337508, 41.49489096, 39.72200051,
       47.29304071, 44.7911487 , 42.75163544, 43.83740079, 47.83669776,
       42.19484854, 44.5155141 , 49.78343684, 49.7409632 , 45.81358096,
       45.04602386, 45.8709187 , 43.84272103, 45.8593505 , 44.59748173,
       47.85729973, 44.59436143, 44.10851643, 43.9681453 , 47.37011812,
       43.06438669, 42.72959137, 46.84906996, 44.54780022, 42.61449515,
       42.76541771, 46.96089173, 44.87408434, 49.61085029, 44.08672543,
       43.71118683, 46.14557082, 43.57160562, 43.5709069 , 42.64653221,
       44.2264871 , 48.0243462 , 46.70396377, 37.82684488, 48.91042493,
       44.56101568, 44.24247628, 48.92981527, 42.43084807, 46.945488  ,
       48.28291305, 47.71401476]), array([44.22999189, 41.93005212, 49.74626746, 40.8527763 , 46.50720621,
       44.07396129, 42.75852626, 44.01332119, 47.7736923 , 44.43254478,
       43.55888817, 45.89701535, 46.15529186, 47.72969471, 44.56710086,
       43.80712243, 41.83277936, 45.76544896, 45.09677874, 49.02013929,
       43.82821175, 44.46016614, 43.44115994, 41.57177057, 44.25577775,
       43.56303043, 43.55827337, 49.57728971, 43.56288849, 48.53998152,
       43.82836996, 44.40391291, 49.28484371, 43.55824489, 48.46380908,
       45.53351664, 42.82746899, 48.06691772, 45.47681318, 47.45847465,
       46.73693934, 44.43986862, 43.55837874, 48.49757725, 41.92029456,
       42.91331491, 43.5697642 , 49.92455489, 49.54147209, 43.55824199,
       45.44674331, 45.11443289, 45.9864786 , 47.82175303, 44.23427659,
       43.55921283])]"
18,0.478,261,"[array([44.23001421, 48.50342469, 40.68083651, 46.64085407, 45.46892633,
       44.83945883, 48.35533874, 45.91366354, 44.28944942, 38.05891166,
       45.50809098, 48.79498896, 41.84711762, 43.95105991, 44.22214592,
       44.77571107, 47.68060747, 46.99931856, 47.2996841 , 48.8636469 ,
       45.89643929, 47.75502064, 43.83742773, 44.88432323, 41.92093766,
       45.45147503, 45.89555577, 48.73822809, 46.15012168, 48.45352372,
       47.14106286, 45.5820747 , 43.69284475, 45.99936545, 49.72491273,
       44.55286204, 43.81628604, 47.32015368, 45.43286091, 44.98927336,
       45.99962308, 40.11320375, 46.26108634, 44.92853151, 49.47999206]), array([48.99719202, 43.8479876 , 46.11110188, 46.7095108 , 42.93070744,
       49.72657153, 44.93515913, 44.97539929, 45.98435793, 44.05630852,
       44.91802439, 44.98116441, 48.76001553, 45.98295878, 42.76691209,
       45.88557079, 45.34489486, 41.97212017, 46.08761169, 45.98437576,
       48.71115425, 43.815893  , 45.8800317 , 42.63078063, 45.30170467,
       44.85377128, 46.264156  , 45.40322691, 49.3776695 , 43.96667633,
       46.7071544 , 44.23603304, 44.91893164, 48.83529267, 49.34011369,
       44.8222147 , 48.1681652 , 49.0878435 , 43.81396525, 43.97376828,
       45.79930532, 44.3506758 , 42.6155167 , 45.87542325, 46.55994257,
       45.42238441, 47.3847703 , 45.77402683, 44.80512396, 43.6833905 ,
       42.62848003]), array([43.1869943 , 47.79720213, 48.91712324, 45.13329474, 45.96281433,
       43.32713324, 46.76014464, 45.46541489, 43.04438911, 40.46053904,
       40.38537536, 43.8538777 , 40.42601607, 46.6903777 , 44.86688657,
       44.97477792, 44.85210287, 45.96255489, 45.58877082, 44.85904141,
       41.54766217, 45.47264775, 49.61958918, 47.14025597, 40.75865517,
       41.94081185, 44.46569814, 43.8345169 , 43.9583069 , 45.86828074,
       46.7088522 , 44.73450821, 45.96592465, 48.69048962, 47.24684315,
       46.10822501, 40.49629429, 46.68853259, 44.95349272, 46.33981259,
       45.00663331, 41.00837653, 43.19052767, 45.99742839, 44.1147225 ,
       45.11984802, 45.23795863, 43.9583383 , 44.49196553, 47.19508631,
       49.81724956, 46.82649317, 48.62209056]), array([40.50331535, 43.97380347, 45.36694354, 45.3082979 , 45.84655497,
       42.27111151, 45.83904219, 48.87796206, 45.68135151, 44.18481181,
       41.39905381, 44.18477976, 45.16593881, 44.86249939, 46.67060338,
       45.84664764, 45.94935212, 45.94692672, 47.51103655, 46.66973272,
       46.31259144, 48.14648527, 45.88915014, 45.55201664, 44.86445388,
       45.94839237, 42.09747995, 48.68921813, 44.94142142, 45.10509702,
       44.78755993, 47.29673176, 42.37456818, 49.77022503, 45.11309319,
       43.84241617, 45.10336101, 49.8960341 , 44.832031  , 42.09652268,
       45.34709106, 48.05852665, 45.70363572, 41.18780189, 45.64874579,
       43.92400212, 45.84402067, 46.61940402, 45.57683499, 46.94423696,
       45.95027172, 46.70231842, 47.50945528, 46.6845573 , 49.56523418,
       45.43608082, 44.43531453, 45.27400977, 46.67825179, 40.10480107]), array([40.93003149, 44.17006581, 45.08682026, 45.87374503, 49.13149563,
       48.82178317, 45.92991516, 45.42238592, 45.26720957, 44.90046519,
       45.74158437, 44.16544102, 45.82866445, 44.89390937, 44.92380302,
       44.53481955, 44.53791263, 40.77162136, 45.09780313, 44.56381606,
       45.08752594, 46.76127594, 45.92856192, 49.90888747, 45.823161  ,
       42.98828987, 47.05094442, 46.92118782, 44.92293201, 44.16933901,
       47.40455527, 44.1663227 , 45.92580481, 48.11901108, 43.68799231,
       48.2407477 , 46.05241476, 41.250392  , 47.8071987 , 44.9247601 ,
       45.82614495, 44.17224982, 43.70644556, 45.70265992, 43.90645054,
       42.70490144, 45.2583248 , 47.02930089, 44.16960888, 46.59450195,
       41.24727375, 43.63359274])]"
