angles,ipr,los_count,distance_cpa
0,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
2,0.992,4,"[array([], dtype=float64), array([49.97918968]), array([], dtype=float64), array([], dtype=float64), array([49.86012994, 49.72549983, 49.28470676])]"
4,0.984,8,"[array([49.79045597]), array([], dtype=float64), array([48.52832305, 47.6072384 , 49.60819308, 49.80791995, 47.65732562]), array([49.69561074, 49.73488803]), array([], dtype=float64)]"
6,0.982,9,"[array([49.98295418, 49.54799769, 49.12812785]), array([49.82593405]), array([49.70762946, 49.28150519]), array([49.95346691]), array([49.46607441, 49.85738053])]"
8,0.832,84,"[array([48.68938129, 49.17290386, 49.39756861, 49.82979549, 49.55060649,
       49.80296704, 49.89841493, 49.66332807, 49.82883285, 46.95744434]), array([49.89860627, 49.72692658, 49.94571514, 49.84429933, 49.81638535,
       49.94871838, 49.69229861, 49.90633234, 49.83964937, 47.11603953,
       49.52889715, 49.92480678]), array([49.81374531, 49.66310115, 49.37421517, 48.66754927, 49.9780969 ,
       49.55691802, 48.54729947, 49.91150389, 48.32208447, 49.74167497,
       49.50795864, 49.87915477, 47.12516191, 49.823591  , 47.0079609 ,
       49.84640308, 49.79604409]), array([48.56303923, 49.69704541, 48.42227907, 49.90929282, 49.64837312,
       49.61068844, 49.53751671, 47.65897865, 49.12294321, 48.31059924,
       49.60424168, 49.06394124, 49.59303774, 49.54577224, 49.87247752,
       47.33375633, 49.48264281, 49.81511377, 49.78176008, 48.82972083,
       48.72836734, 48.98508549, 49.75381084]), array([49.44800808, 49.58171395, 47.52783257, 49.36595533, 49.39643497,
       48.8213792 , 49.22218542, 48.21304174, 49.19591595, 49.94115789,
       49.98953443, 48.95532992, 48.78302345, 49.41625305, 49.97367312,
       49.6051901 , 49.86440643, 48.87910573, 49.48710662, 48.63992689,
       49.19940477, 49.43797974])]"
10,0.768,116,"[array([45.54749768, 49.64106114, 49.55862933, 48.52448788, 49.26373927,
       49.7757277 , 49.56451318, 48.31456976, 49.39122776, 49.79415323,
       49.23596531, 49.61480818, 48.06847633, 49.5944427 , 49.6068204 ,
       48.93944302, 48.75698204, 48.73742841, 47.63218211, 48.0068708 ,
       48.6122097 , 49.93687429, 47.72803002, 49.53829744, 49.82899319,
       49.21793421]), array([49.22631921, 47.47053453, 49.74872155, 49.9437333 , 49.32350839,
       49.73238589, 49.79190388, 49.18213352, 49.86732378, 49.98664491,
       45.53014608, 49.37620771, 48.55934905, 49.15632101, 49.20661264,
       49.32654421, 49.64207505, 48.76446077, 48.77784957, 49.5023413 ,
       48.43610685, 49.82536651, 49.29943322, 48.83152123, 48.79058071,
       48.18644513]), array([49.82759325, 49.78542583, 49.87379627, 49.08233489, 49.78995171,
       49.04089791, 48.68894156, 49.35189168, 49.32101043, 49.66560648,
       49.02528799, 49.08142837, 47.47551879, 48.74615281, 49.43235296,
       49.59825784, 49.63082006]), array([47.18644487, 49.75471019, 49.29757446, 48.60814605, 48.45424406,
       49.85025799, 49.89922878, 49.85243245, 49.18407218, 48.08575104,
       48.76111552, 49.69976349, 48.65456323, 48.59226414, 48.52620305,
       47.40510718, 49.91709006, 49.31953523, 48.93185402, 49.08169071,
       49.89694817, 49.46030935]), array([48.76354175, 48.13252685, 48.48685357, 49.41541898, 48.18457373,
       48.18398493, 49.8370652 , 49.69321757, 49.87059715, 48.65545074,
       48.85263403, 49.73448321, 48.2502855 , 49.12241993, 49.16927146,
       49.31011996, 48.10976414, 49.96444355, 49.61039405, 49.94880815,
       49.36113035, 49.37225497, 49.06977664, 48.86564714, 49.37594882])]"
12,0.67,165,"[array([48.83841385, 47.98312286, 48.97520041, 48.60472584, 49.18950468,
       48.44127376, 48.96024268, 49.03112585, 48.92776987, 49.13203215,
       49.99562695, 46.30559466, 47.86582072, 49.68994522, 49.497257  ,
       49.81894378, 49.73093725, 47.79176457, 49.41724632, 49.92946726,
       48.83061656, 49.17169964, 49.80718448, 49.82021399, 48.72142085,
       49.19793213]), array([48.27295648, 49.65790917, 48.99528087, 49.02957564, 49.53886374,
       49.12387149, 47.9426394 , 49.36312695, 48.97679896, 49.92460281,
       49.21900053, 49.45272457, 48.82708231, 49.61563631, 49.01781328,
       49.09050719, 49.0603547 , 48.70140926, 49.01811372, 47.83340245,
       47.30216214, 49.50229449, 49.37511399, 49.26676561, 47.12165916,
       49.39799355, 49.54443591, 49.88346711, 49.88660003, 48.42805344,
       48.57336333, 49.30980688, 49.3200831 , 48.63096548, 48.80557451]), array([48.14139938, 49.28557948, 49.0399181 , 47.19612682, 49.13261574,
       48.83433271, 48.90203151, 48.8778262 , 48.76940382, 48.9819013 ,
       49.44113104, 47.38880564, 49.30474198, 49.03488744, 49.54468322,
       49.86917021, 49.83308826, 47.225889  , 49.35180341, 49.17301856,
       49.49131285, 49.44055313, 48.99159656, 48.90485648, 49.71033897,
       48.77344519, 48.00861812, 48.45123857, 49.77625178, 48.36163525,
       49.04614139, 49.79897215, 49.17061898, 49.34496098, 48.4755967 ,
       49.37762182, 46.58061735, 49.44846282]), array([49.76289044, 49.42186438, 48.07604482, 48.95185234, 49.02881348,
       49.68472815, 49.68854522, 48.35411831, 49.84465285, 48.90074534,
       48.56951593, 48.69698623, 48.48897494, 49.24324691, 49.61229634,
       48.61862483, 48.78781521, 48.62286202, 48.31387341, 49.47777534,
       49.94263999, 48.77892141, 48.96424042, 49.96033405, 49.05100018,
       49.44031393, 49.92272256]), array([49.52639107, 49.5172968 , 47.66054561, 49.73190051, 47.35735536,
       49.37906819, 47.48162334, 48.19675985, 49.0149493 , 49.94809342,
       48.23841611, 49.08814571, 49.77661962, 49.19726262, 48.4633379 ,
       48.20683684, 49.63848353, 47.0075855 , 48.73279966, 49.36308302,
       48.04034009, 48.32103767, 48.7322459 , 48.83834744, 48.74640491,
       49.88397005, 49.57583092, 47.99269775, 49.56286588, 47.84318934,
       49.22824541, 48.32734678, 48.82384975, 48.58415273, 47.76725741,
       47.60588888, 48.87192166, 49.7202345 , 48.75659898])]"
14,0.606,197,"[array([49.92158296, 48.55678835, 48.96467922, 49.35614979, 48.70069755,
       49.62704801, 49.95562559, 49.75400736, 49.56862926, 47.19093314,
       48.79787754, 48.44116062, 47.9481345 , 49.54544405, 48.19086907,
       49.99266256, 49.77796982, 49.34777017, 47.87288648, 49.87139119,
       49.91759904, 49.4816826 , 49.92752839, 48.67168423, 49.60962367,
       47.46051896, 48.58241971, 47.37856854, 49.88621176, 49.59478249,
       45.93394445, 49.58940782, 49.90275152, 49.37170662, 45.49607655,
       49.06073278, 45.95267204, 47.76949528, 48.38137106, 49.82896516,
       49.04601537, 49.77082709, 48.4355398 ]), array([48.43182344, 49.34103616, 48.34098809, 49.28036051, 49.51105749,
       49.45959732, 46.4818024 , 46.31200662, 48.80042478, 48.13686067,
       48.62023635, 47.20500639, 48.87815772, 49.25067751, 48.68539583,
       47.95090411, 48.15628175, 48.01474866, 48.8270657 , 49.90983644,
       47.34545781, 42.57397188, 48.70241545, 49.2213992 , 49.40127824,
       45.99309547, 48.5106666 , 49.70122573, 48.73023163, 49.70963304,
       49.57384732, 48.76568856, 47.89242786, 48.02991756, 49.92390519,
       48.86138595, 49.12817097, 47.57203091]), array([46.9847961 , 48.46174819, 49.51624786, 49.35565894, 47.66556363,
       48.53704276, 49.58286987, 47.14782322, 48.45506583, 49.61933017,
       49.34273646, 48.34011161, 48.88942963, 47.88970043, 49.7811003 ,
       46.25536214, 48.8575085 , 48.66648602, 49.60365321, 47.85585806,
       47.10454586, 49.50546681, 49.58970523, 49.86646947, 48.09055775,
       48.90842979, 48.1760027 , 47.03781027, 48.54934374, 49.42056555,
       49.46011959, 49.48517462, 49.64074207, 49.98800396, 49.15979555,
       48.54493169, 49.18724532, 48.37836161, 49.32921712, 49.72434364,
       49.89061737, 49.23756153, 47.89781319, 47.74465128, 48.4514324 ,
       48.70403601, 49.78602858]), array([48.49072274, 49.40315023, 49.90669708, 46.45078131, 48.71102725,
       46.84605875, 49.59016534, 47.60460399, 46.0546927 , 48.42379838,
       46.29167795, 46.2829254 , 48.25696692, 49.44283948, 48.14706807,
       49.82071958, 48.85157244, 49.18152214, 48.10287704, 49.88817889,
       49.49788911, 47.95617415, 47.95434242, 49.26683073, 49.79968299,
       49.43497776, 48.73147562, 49.34308142, 49.78596506, 48.7997813 ,
       48.13975213, 49.72053451, 48.36507633, 49.82730479]), array([48.83933578, 45.53656477, 49.71843707, 49.26203968, 47.57557175,
       47.8832239 , 48.95436841, 49.30859433, 49.62077766, 49.4047381 ,
       49.60613841, 48.18247354, 48.9079377 , 49.54369583, 47.57789574,
       49.01324333, 49.49573137, 49.29558399, 49.42839229, 48.74571403,
       48.94868868, 47.20608809, 49.10145052, 47.70590622, 49.29989659,
       46.29815234, 48.89274104, 49.38992394, 48.29777486, 47.75853118,
       47.88375947, 48.07828861, 47.57236221, 49.81681323, 49.85664105])]"
16,0.598,201,"[array([49.11563406, 49.64509906, 49.29491535, 49.6998145 , 49.13808723,
       49.10160405, 48.86749313, 49.52996575, 48.5074741 , 46.77857745,
       49.01885894, 47.7984041 , 48.77373808, 49.26329711, 49.83906807,
       46.95437393, 48.63768793, 45.53968267, 49.60546502, 48.76349665,
       49.16693389, 48.59459505, 46.34903227, 47.84341888, 48.58596394,
       49.69058567, 47.0297972 , 47.83813091, 47.64698881, 48.2888214 ,
       49.78876303, 47.50238002, 49.08005004, 49.59329792, 49.77811606,
       47.83741363, 49.65538788, 47.81380981, 49.93396373, 49.55045263,
       49.45189739, 46.96736788, 48.90345934]), array([48.95786953, 49.01569096, 49.23562396, 47.93144886, 49.83000878,
       48.39238517, 48.01964488, 49.46742898, 49.80607022, 49.69431409,
       48.73896174, 49.32366425, 47.95220667, 49.32521565, 49.53732595,
       46.63680604, 48.94948346, 48.03617528, 49.84850103, 49.26381508,
       48.46759213, 48.1103268 , 48.9232232 , 47.54809859, 47.91174349,
       49.84570776, 45.81777403, 48.40205597, 49.02443401, 49.34637162,
       48.81051751, 47.96394789, 49.92050307, 49.09112204, 49.44733037,
       47.76315154, 47.44693411, 48.44400188, 48.23946772, 48.02932721,
       49.26846313, 48.75236463]), array([49.45333305, 49.79554331, 49.80858835, 49.25523709, 48.49456937,
       48.35365569, 47.80562942, 48.20941727, 47.38238198, 45.75530713,
       49.76346081, 49.81578143, 49.52755686, 49.27958664, 49.53222503,
       48.69631368, 49.63856697, 47.71927089, 49.96988636, 49.29388813,
       48.52959644, 49.20631615, 49.41101624, 45.89789579, 48.14903625,
       48.33951022, 48.69975282, 49.66261416, 49.27474861, 48.51409876,
       47.69892598, 47.76090186, 47.17991905, 48.90942329, 48.68301873,
       47.71202101, 49.28536748, 48.0040988 , 49.33517574, 48.34369251]), array([49.29720298, 49.78466546, 48.53605848, 47.71344446, 49.83619035,
       47.30277105, 47.58614359, 48.79307565, 49.48990787, 48.83213048,
       48.97171167, 49.72884361, 49.58177054, 45.99037123, 47.94745825,
       47.67061646, 48.92997859, 48.76621853, 47.0720125 , 49.09662152,
       49.10624805, 49.52946833, 48.13896624, 49.02550102, 49.34548035,
       48.62279664, 49.32779416, 49.090623  , 47.57559711, 48.57522152,
       49.00080944, 48.47259954, 49.70242264]), array([49.20760785, 48.99669936, 49.18427995, 49.82042667, 47.94667237,
       49.99242119, 48.33430454, 49.01053923, 49.9562845 , 49.63547864,
       49.45395436, 47.68392226, 49.6933697 , 48.44252755, 49.52314149,
       48.50755537, 48.68480901, 49.14332252, 49.15942078, 49.16186744,
       47.01666096, 46.83091307, 46.95887392, 49.75869195, 48.37971534,
       49.28258761, 48.54181904, 48.64937   , 49.32816349, 48.46418892,
       49.34259522, 48.99105795, 49.42035205, 49.39775062, 49.51489106,
       48.54558031, 48.49627921, 47.7751012 , 47.01911161, 49.03825525,
       48.05616834, 49.02062382, 49.5157989 ])]"
18,0.462,269,"[array([46.46794573, 47.01355878, 49.1887522 , 48.91705775, 49.19825071,
       48.44723929, 47.70737594, 49.03863672, 46.58515904, 49.6137322 ,
       49.00479382, 48.40380913, 49.93479516, 49.3324887 , 48.63757609,
       49.157824  , 49.73219004, 48.64644605, 48.90024962, 49.1448927 ,
       48.42556086, 48.89969201, 49.34387795, 48.02153183, 49.33210981,
       49.022704  , 49.07493692, 48.39730929, 48.71593767, 48.42809643,
       49.1516965 , 48.07042066, 48.55083437, 48.43785874, 48.42288688,
       49.49719997, 49.69087939, 48.50484792, 49.82526308, 48.60092556,
       49.04690784, 49.63791933, 48.80044769, 49.3713252 , 49.17801738,
       49.96598477, 49.15100495, 49.07447122, 49.45924867, 49.98695982,
       49.58435002, 49.1629699 ]), array([48.093174  , 49.46040456, 48.74764462, 48.54722473, 49.25342827,
       49.56441059, 48.4639281 , 49.41649315, 48.72361502, 48.7257592 ,
       48.15200789, 48.64767668, 49.25608935, 48.51110868, 49.30032031,
       49.01314702, 48.96223539, 49.84923002, 49.11261897, 49.84461448,
       49.98655333, 47.96327537, 49.81868249, 49.91286842, 49.04925863,
       48.64137359, 49.91535295, 49.80163171, 48.60872789, 47.51692272,
       48.84340864, 49.48103204, 48.27060686, 48.53431911, 47.47587893,
       49.91760674, 49.39105314, 49.74979682, 47.47135446, 48.84419496,
       49.00256778, 49.12703818, 49.27145484, 48.49035512, 48.9388157 ,
       48.10115648, 48.06772991, 49.6932358 , 49.8513027 , 49.13438882,
       49.42620126, 48.3929467 , 49.17758985, 47.38734734, 49.75853483,
       48.32368646, 47.55275123]), array([49.09801117, 48.71306931, 47.77487617, 48.85222635, 49.98542787,
       47.87617193, 49.59423787, 48.47698627, 48.06310057, 49.72033507,
       49.59577354, 49.2344066 , 49.84117457, 49.19267393, 49.79677436,
       48.32539104, 45.91105972, 48.95386198, 48.3665619 , 49.5429025 ,
       49.07447284, 49.87930252, 49.02901306, 48.93745141, 49.49865281,
       49.45713644, 48.18839678, 49.70348546, 49.40154818, 49.2113995 ,
       49.70578171, 48.74270409, 48.00590717, 48.74809136, 48.23512449,
       49.45268205, 48.60382014, 46.76140272, 49.06719837, 48.98434949,
       49.44024886, 49.71804755, 49.06495004, 48.45408442, 45.2566768 ,
       48.01317085, 49.60415041, 48.57445487, 49.35836889, 49.21530868,
       49.5417507 ]), array([46.92362289, 49.51958281, 48.55994658, 49.06857797, 49.13007593,
       47.68328497, 48.0561899 , 49.10101865, 48.14278929, 48.56806854,
       48.77277734, 49.00883827, 48.60477087, 47.58293111, 48.57185952,
       48.6260859 , 49.22412962, 47.87869256, 44.26843602, 49.48137557,
       48.66228501, 48.77120414, 49.44453481, 47.90257408, 49.45720914,
       47.23187146, 49.58332807, 48.31809963, 49.03087606, 47.17303094,
       49.57820661, 49.68371517, 49.61243914, 47.33178837, 49.17253134,
       48.3752216 , 47.38255138, 49.91584611, 49.53591297, 48.7190973 ,
       48.088149  , 49.89473706, 49.48323346, 48.09461291, 48.59949381,
       48.94826303, 48.16621503, 48.78667924, 47.97585728, 49.12864556,
       49.05189162, 45.97854055, 48.6527506 , 49.44016511]), array([49.27910756, 49.37405825, 47.18937028, 46.37535501, 48.7165419 ,
       47.59566314, 48.59966297, 49.64251854, 48.78511432, 48.2470584 ,
       47.87897001, 48.60351189, 49.9520072 , 49.68842664, 48.53981442,
       49.31328143, 49.30754448, 49.54317772, 48.23170663, 47.55365721,
       48.03776145, 49.70871267, 48.32621607, 48.96439809, 48.56511275,
       48.65554461, 47.53356937, 49.67014835, 49.87141236, 47.73425378,
       47.91571413, 48.56491069, 49.78751183, 49.50529834, 48.45027764,
       49.249911  , 49.90564923, 47.78557882, 49.44121049, 48.74885498,
       49.1201198 , 49.65682202, 49.64728858, 46.038952  , 48.37939713,
       47.46685905, 49.22459437, 48.76758608, 49.1398874 , 48.87083322,
       48.4661604 , 47.43471592, 49.52409789, 49.80992269, 47.83097128])]"
