angles,ipr,los_count,distance_cpa
0,0.942,29,"[array([48.55722358, 48.55711718, 48.56106086, 49.71728581, 48.56638887,
       47.91223513, 48.29736247, 46.55603565, 48.53176232, 47.92520055,
       48.87994982, 47.30804627, 49.2308461 , 49.90849416, 48.55753197,
       48.56724809, 48.61787783]), array([49.10428751, 48.45138459, 48.96981087, 47.81808122, 48.56271201,
       48.55364213, 48.86585317, 49.0119458 ]), array([47.81742847, 49.30666583]), array([], dtype=float64), array([48.18876033, 48.5524999 ])]"
2,0.966,17,"[array([45.48246894]), array([46.68067134, 47.02662677, 46.32404647, 46.29931546, 45.52585864,
       46.40481877, 46.08259388]), array([46.84218617, 47.65028228, 46.3291887 , 48.15529045]), array([47.46262975, 49.67701474, 47.77535992]), array([46.86578068, 47.77311633])]"
4,0.978,11,"[array([49.85524992, 48.58399756, 47.44939449]), array([47.12983607]), array([49.12895037, 49.44749547, 48.43075611]), array([48.98728282, 47.69633943]), array([48.25627011, 48.62419573])]"
6,0.962,19,"[array([48.86039791]), array([49.62412471, 49.63348823, 49.85767575, 48.56301523, 49.74262696,
       49.99960934, 49.98853246]), array([49.64730309, 49.99678333, 49.28234467]), array([49.23694752, 49.34291229, 49.83831851, 48.544594  ]), array([49.70590768, 49.8794777 , 49.54204584, 47.89149283])]"
8,0.98,10,"[array([44.92551354]), array([49.97248901]), array([48.23594032, 46.36970481, 48.93032508, 48.50057888]), array([48.90793567, 48.77046306]), array([48.88237971, 49.50999746])]"
10,0.93,35,"[array([48.48833359, 47.17070996, 44.57904994, 49.76545624, 48.79223837,
       46.76190747]), array([49.82280376, 48.49997634, 47.09571181, 47.1583326 , 49.61338207,
       48.63329955, 38.44257275, 47.05487943, 48.57709462]), array([49.9154184 , 47.40784769, 47.78379111, 49.79654294, 47.57105501,
       49.80910747, 45.88233563, 49.83707273, 48.00087029]), array([36.55578283, 47.97549165, 47.14160103, 48.35818078, 38.00343043,
       47.97786522, 47.7934894 ]), array([49.7468765 , 33.26244876, 49.6604005 , 49.44570746])]"
12,0.95,25,"[array([49.28755033, 41.33654633, 48.58427775]), array([48.40153299, 49.92133737, 47.17002982, 44.82767618, 48.82522291,
       43.79517837]), array([40.38490987, 30.16340156, 47.85819374, 47.85927105, 48.67122243]), array([32.47559148, 42.27489625, 46.27279482, 24.31714998]), array([33.96528797, 34.29497739, 32.08681546, 48.35504242, 42.171334  ,
       48.00168103, 48.08048494])]"
14,0.914,43,"[array([48.318898  , 48.14418718, 49.43913695, 47.89202506, 48.80044792,
       48.43199114, 49.84630185, 47.12820705, 39.26561011]), array([49.67318046, 38.92065656, 49.03315872, 49.34240138, 48.24793571,
       48.64033551, 48.29798493, 47.00285078, 45.69530915, 48.14023236]), array([48.811639  , 28.38523888, 48.25977537, 45.84356562, 44.69251457,
       49.1959325 , 48.00963302, 48.25959289, 49.28432187, 48.82521955,
       44.69269391, 49.23264054, 48.4729491 ]), array([48.46510928, 47.93052787, 48.15966127, 49.61261949]), array([20.25261972, 48.91093524, 47.13909185, 47.2454585 , 47.95505168,
       49.27250358, 48.45610441])]"
16,0.86,70,"[array([47.47022728, 48.17259061, 47.4762752 , 44.82896016, 49.66313309,
       49.19384586, 47.48017757, 49.65894272, 49.65973399, 48.69698583,
       47.35419973, 49.2482557 , 48.17250971, 49.95461412, 47.52567576,
       47.02784051, 47.99946086, 47.54553448]), array([49.63748761, 46.36130672, 44.59233789, 48.3671088 , 47.0846636 ,
       44.01914363, 49.17561068, 47.07935995, 49.63859905, 40.99483254,
       41.99609955, 48.15584857, 44.08144825, 41.0794713 , 47.07941889]), array([45.06508063, 48.85878756, 47.48318131, 48.12711201, 47.03676074,
       47.88068878, 47.48196616, 49.61618703, 46.86673385, 49.15324799,
       49.14709681, 47.30538813, 47.88308824, 47.46183366, 38.67688677]), array([46.11752349, 49.12733249, 42.98681457, 49.35704835, 46.94297895,
       48.32161221, 47.27112801, 36.79780715, 45.46743103, 48.31824167,
       48.41618598]), array([46.89029437, 49.10317944, 49.5697721 , 46.54257957, 47.72108234,
       49.57952483, 49.57119518, 48.08805294, 49.10215337, 46.92365006,
       47.36641338])]"
18,0.848,76,"[array([47.21527624, 48.36801865, 48.13529853, 35.80507679, 49.73818762,
       48.04262231, 47.50997325, 47.0279401 , 47.51806372]), array([47.60596962, 48.3443748 , 47.95887435, 49.00651878, 42.73196829,
       48.34460846, 47.5573435 , 48.34462216, 49.8043326 , 49.74408653,
       47.83564179, 49.28515636, 48.4046736 , 45.45933703, 49.85424172,
       48.34405957]), array([44.05501833, 48.26829116, 48.32242618, 29.92482894, 48.83775788,
       43.78376311, 49.32546764, 30.87303724, 47.76220454, 47.76933112,
       49.32124909, 49.77997574, 48.21347675, 49.78246383, 48.83667755,
       48.18346382, 48.84229574]), array([39.70026074, 42.64822902, 47.56335138, 49.75762245, 47.46232774,
       49.29163703, 49.22368805, 47.4962452 , 48.82846689, 48.3568668 ,
       48.84555752, 48.94673078, 48.81822015, 47.84978233]), array([47.72228656, 48.63062284, 48.93063323, 49.73475783, 48.19837078,
       48.7895414 , 35.78356083, 49.08203371, 48.1657757 , 45.04106197,
       48.78945244, 48.21856369, 38.62829408, 42.04399942, 47.72171358,
       48.18380619, 49.28014356, 35.89051223, 40.13842904, 26.37482895])]"
20,0.786,107,"[array([49.20779661, 47.27703951, 40.02138992, 46.4562243 , 49.00569358,
       46.29842392, 31.84129719, 49.20214197, 47.8406309 , 49.7090687 ,
       47.27545015, 49.71106848, 46.44183866, 47.5051181 , 46.72608525]), array([46.08244824, 39.90843714, 48.64461877, 46.63823503, 46.98075654,
       49.69176873, 45.39172807, 49.17854035, 39.62708854, 46.59344571,
       48.42620526, 37.70356705, 48.96391377, 48.42639931, 43.08479468,
       46.75491786, 49.17967094, 48.04624085, 47.27654009, 49.17859546,
       48.42448379, 43.374773  , 46.123934  , 47.53583169, 43.45752975,
       48.96332169, 48.96805765, 49.1421392 , 43.0088106 , 39.96272034,
       48.97223414, 40.6886903 , 45.87423844, 46.1214639 ]), array([46.20503784, 39.2642275 , 49.66105024, 49.67106715, 49.66197763,
       46.34744764, 49.15428804, 32.3365955 , 49.67787298, 48.35049236,
       47.52503989, 49.15409109, 49.15349201,  4.64009092]), array([48.31864261, 49.64011793, 49.6354862 , 49.12732651, 49.12817577,
       46.74639498, 46.97915589, 40.55537449, 49.64111688, 49.63861636,
       49.46783515, 48.58560402, 47.56179713, 47.54144461, 48.58612297,
       49.12891721, 48.58941629, 49.46542794, 40.57862552, 40.54942925,
       47.1429646 , 47.66449487, 49.64399281]), array([47.96965109, 49.10141361, 47.03998051, 47.61892305, 47.12941321,
       47.67753041, 49.42403866, 42.02929289, 49.10044411, 48.28663941,
       49.61113526, 48.88379805, 46.87287828, 49.61773411, 49.10343937,
       47.34334413, 49.10323974, 49.61336797, 42.31668777, 49.99349106,
       47.75666657])]"
22,0.794,103,"[array([47.39604963, 39.17196679, 49.47563182, 48.98601341, 49.48742899,
       48.84443647, 48.66965367, 49.17602817, 40.79968852, 49.47757584,
       48.17999592, 49.17684216, 48.85700864, 49.37349885, 49.6583118 ,
       49.47592686, 49.17624873, 49.19477759, 48.66932229, 48.7160219 ,
       48.67034569, 46.87429424, 48.49045606, 46.66572305, 47.9740156 ]), array([49.51301792, 48.51825558, 49.98786521, 49.98971569, 49.99001232,
       48.7354014 , 48.65069771, 49.44972591, 48.51933377, 49.99094991,
       48.22227576, 13.69496253, 49.15839566, 48.97950951, 48.15653299,
       48.22163466, 46.88246112, 48.64983718, 49.44915779, 49.15244059]), array([48.97073787, 40.63811509, 48.14705986, 48.0826634 , 49.60348098,
       48.08070647, 49.13124605, 49.96420782, 48.61976951, 42.12908006,
       48.97458879, 41.64658416, 40.62516107, 42.88789213, 49.6037472 ,
       45.34402089, 43.11362876, 48.08342935, 48.61970427, 48.98131811,
       42.62367335]), array([48.17582064, 47.43589951, 49.39195908, 49.93725477, 49.94248503,
       47.34839552, 49.93288926, 49.10520901, 48.82383369, 48.84822837,
       49.10023608, 46.3546189 , 49.9365659 , 49.9425349 , 49.93651534,
       48.92219887, 48.92267008, 43.76530353, 49.10110808, 48.7156291 ]), array([49.36615882, 48.7823837 , 42.52918594, 49.90780153, 49.07297518,
       49.0744998 , 49.38310792, 49.55149701, 41.65684195, 48.78622376,
       41.63522668, 48.55719135, 48.1424752 , 48.940559  , 49.36718227,
       48.79317777, 49.07523629])]"
