angles,ipr,los_count,distance_cpa
0,0.344,328,"[array([47.95604349, 42.12545785, 42.7285263 , 41.08376041, 37.27020704,
       20.00705166, 42.91033016, 29.09691818, 31.11735016, 17.68810198,
       48.42751403, 41.19854859, 23.24108317, 27.13586996, 46.35392948,
       44.11206189, 46.1884976 , 43.48041928, 15.66152831, 44.37512223,
       31.86282028, 28.03555822, 36.93598675, 46.96542937, 46.53227829,
       29.14937313, 45.27841782, 28.63402401, 42.09521522, 44.70479866,
       47.31939078, 10.87850868, 46.35139414, 49.97596841, 30.69209714,
       40.50161391, 26.66215043, 41.79918896, 48.15677987, 45.97687755,
       41.34950787, 39.78116337, 39.78854114, 46.19905672, 48.14802992,
       44.99947529, 41.47479331, 43.16500971, 46.30659342, 46.44556585,
       17.17441799, 43.161033  , 24.66112402, 48.25725784, 47.05159411,
       46.24138562, 40.13230762, 47.8471712 , 47.06836232, 41.61528204,
       46.25895027, 48.6513533 , 31.78268167, 43.92421821, 44.87933618,
       35.26174083, 40.09382205, 46.00463515, 49.55243001, 47.68581437]), array([46.49541777, 39.88140471, 30.0942838 , 28.98353595, 45.6780428 ,
       43.47736807, 33.74003555, 29.87147735, 48.72172082, 47.94062692,
       34.49081668, 33.72646778, 44.3599778 , 40.69705784,  8.8460027 ,
       37.72621398, 49.64184462, 33.4399906 , 35.09185296, 47.16356059,
       27.10682095, 34.32373875, 39.96309524, 42.08945576, 41.82687045,
       45.49532097, 49.76865161, 46.30659545, 47.00292712, 36.53694682,
       26.68879627, 20.86837684, 26.22621546, 42.28667093, 34.6940641 ,
       49.65119082, 48.96227425, 20.47020584, 46.65514855,  6.92721485,
       36.08720888, 24.44404673, 38.82027392, 36.76015344, 30.90719239,
       35.82580895, 26.62444456, 41.56635092, 38.66527786, 14.50775661,
       44.81455081, 14.71534994, 46.66881281, 40.78913392, 42.70021646,
       49.16804039, 44.37130222, 49.03571194, 36.59574347, 14.76053813,
       42.20266702, 33.60548374, 47.68782282, 19.37817781, 35.24577687]), array([45.6258534 , 48.04291679, 49.33808287, 19.00984394, 44.1450845 ,
       33.87361719, 40.53633206, 28.32616708, 40.88621828, 45.75185078,
       33.66105001, 23.48044889, 48.10190094, 41.98263754, 46.54708578,
       38.66000143, 10.87395935, 29.00470294, 25.0667244 , 20.52553538,
       44.46943987, 44.48156872, 46.89736249, 30.9971197 , 41.90948148,
       14.22874737, 47.39000012, 13.66920943, 40.65420277, 38.68633036,
       47.15060798, 25.18876939, 40.4036298 , 30.86768284, 32.12300291,
       42.84362388, 25.29726829, 22.90418221, 43.56312805, 39.77785621,
       43.88455933, 47.86924967, 19.55912581, 47.63565748, 44.84672826,
       48.17250942, 41.53128048, 21.47351431, 33.61248355, 22.9697746 ,
       49.13118697, 47.22588558, 45.50222176, 43.95141249, 45.82119471,
       40.71012588, 27.11362347, 17.87817702, 49.37247314, 44.48738149,
       40.9232416 , 38.40639394]), array([37.73840688, 25.78215107, 45.5960941 , 10.48448136, 13.56083156,
       45.16932131, 39.88567427, 46.04341794, 47.57357523, 43.25662113,
       37.81346759, 43.17518226, 17.34335707, 44.6916349 , 46.66619772,
       22.47778143, 48.83160776, 38.1202904 , 11.12425479, 43.18024012,
       44.28411904, 48.43498888, 28.16661243, 43.76457007, 43.72622647,
       45.5955908 , 28.4882406 , 32.4019964 , 49.32684039, 32.77294669,
       38.80219122, 44.00933167, 27.86294477, 45.626951  , 39.2302365 ,
        6.24124798, 38.87131246, 45.06567339, 31.22691141, 44.95543054,
       44.31146557, 23.08604695, 43.55929068, 49.61761063, 45.21027189,
       39.75420969, 28.96193943, 38.27697136, 47.92242416, 45.44794349,
       37.63380399, 28.20228478, 48.30588356, 42.25716161, 15.00025994,
       44.07012971, 18.50564625, 46.24916633, 48.96737056, 40.16166151,
       39.78241867]), array([46.46209458, 48.20537987, 27.21746221, 36.3903845 , 37.3601819 ,
       43.47908284, 36.51283401, 31.76489251, 42.19674196, 38.84032233,
       38.7447394 , 41.94684016, 30.93762448, 14.61548453, 27.80130731,
       48.18956472, 40.16077889, 45.38642249, 49.64162107, 49.87447646,
       44.95709755, 48.40899102, 48.19456545, 48.42754585, 22.82352748,
       44.60889562, 41.95972011, 44.72833002, 46.43324297, 48.10439941,
       30.68251928, 44.1711528 , 40.35164509, 39.15420558, 28.15906648,
       47.07312175, 49.03054716, 43.90554034, 37.26038323, 25.99121994,
       49.39076552, 45.6872495 , 44.911731  , 38.95343173, 47.77990491,
       42.68199905, 38.95675514, 46.2233628 , 33.23401531, 44.61616309,
       26.72438841, 33.44798835, 30.52673896, 11.49691118, 37.00954623,
       48.78633753, 46.1807218 , 33.03420934, 46.0764595 ,  6.87537207,
       43.10204787, 34.73930148, 40.32500003, 36.32421554, 13.20100512,
       37.38802998, 46.00943029, 38.92900234, 18.085234  , 20.90335647])]"
2,0.946,27,"[array([46.3213198 , 48.28007646, 49.94423256, 49.41780824, 49.53739685]), array([48.73443559, 49.23416484]), array([42.24053373, 33.35843007, 48.97527943, 45.0846781 , 41.8299584 ,
       48.50296209]), array([48.67901827, 46.22112737, 41.6308159 , 46.10547973, 43.6138021 ,
       48.59035258]), array([46.78297854, 49.87186521, 47.52862879, 45.08121052, 49.88377617,
       49.41315673, 44.66602668, 49.49456852])]"
4,0.942,29,"[array([48.17483635, 49.96766895, 47.73622821, 48.55298014, 48.06208316,
       49.8094997 , 49.99736663, 49.47774531]), array([48.54328493, 47.81032571, 48.35621215, 47.39130687]), array([49.72638331, 49.40827342, 49.14614228, 49.46419326, 49.86701473,
       49.71671048, 47.31621902, 48.60423363, 47.94156109]), array([49.55192914, 48.99643272]), array([48.06309098, 49.9043157 , 48.48684431, 48.38365147, 46.91950239,
       49.88290108])]"
6,0.966,17,"[array([36.01639576, 48.78820706, 48.78207581, 48.28770394]), array([48.34303038, 47.18496061, 47.88150968, 49.82327313, 49.72228495]), array([49.57298491, 44.82003119, 49.42177859]), array([49.69594909, 49.82465935]), array([47.35470945, 46.79183397, 46.89826832])]"
8,0.964,18,"[array([49.43281185, 49.40660438, 48.63338702, 49.86374384]), array([49.90057362, 48.71807938, 49.46184387]), array([49.93928786, 48.41238655, 47.45895544]), array([49.00646126, 47.32683939]), array([48.26262275, 49.41085958, 49.01398687, 49.40604531, 48.85998307,
       47.0327923 ])]"
10,0.964,18,"[array([42.46011659, 49.9789618 , 41.74386164, 49.48910413, 47.14472956,
       49.49331102]), array([49.18340285, 48.89101179, 48.16168594, 49.2637754 ]), array([48.57966302, 49.97024174, 46.3731424 ]), array([45.81256774, 48.43968254]), array([45.04191056, 45.83224197, 49.66207984])]"
12,0.956,22,"[array([49.84594153, 49.98700828, 45.75450401, 49.53585137]), array([45.7683113 , 49.48544399, 49.33924268, 48.3758954 , 48.95013708]), array([47.2481085 , 48.51751375]), array([49.42601337, 48.03340951, 48.08033975, 49.49480449, 45.94972424]), array([49.69221867, 47.53036762, 49.69454741, 49.95442571, 49.88489935,
       49.3399274 ])]"
14,0.966,17,"[array([49.28034662, 46.07895222, 48.76494583, 47.87579988]), array([48.68546351]), array([48.0338207 , 31.76878953, 44.26728772, 48.20914223]), array([49.61102524, 45.34396947, 49.19798233, 48.92632742]), array([48.59349063, 49.81575558, 49.84650624, 48.8605592 ])]"
16,0.952,24,"[array([48.25226061, 48.07148337, 46.00273895, 49.66141927]), array([36.27465239, 41.54426886, 49.18436358, 47.82466851, 49.36875009,
       48.44063587, 47.7134919 , 49.78209577, 49.54365575]), array([49.38126789, 26.89506053]), array([49.9467628 , 49.45543067, 49.83133084, 46.7969958 , 47.68214299,
       48.59279197]), array([48.68368521, 49.7812266 , 49.71493967])]"
18,0.956,22,"[array([49.20289403, 44.53977244, 49.2504207 , 49.26354365, 48.41991584,
       42.69684232]), array([49.84859225]), array([49.8279831 , 49.21571938, 46.88468191, 48.85697705]), array([46.38997149, 49.92724266, 49.29378834, 46.26744621, 49.75391847,
       47.79403749, 44.9022906 , 49.60519503, 46.66281074]), array([49.88125015, 49.48586377])]"
