angles,ipr,los_count,distance_cpa
0,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
2,0.996,2,"[array([], dtype=float64), array([49.92933834]), array([], dtype=float64), array([], dtype=float64), array([46.95006412])]"
4,0.988,6,"[array([49.72753426]), array([], dtype=float64), array([49.87158033, 49.54479492, 49.65218472]), array([49.92175099]), array([49.81641295])]"
6,0.972,14,"[array([49.95649547, 49.98137829, 49.71767666, 49.68102468]), array([49.92437491, 48.96189327]), array([49.91613196, 48.94115004]), array([49.85518659, 47.91297236, 49.2820468 , 49.34693184]), array([49.7627565 , 49.78913452])]"
8,0.886,57,"[array([49.95019884, 48.70410144, 49.83125878, 49.64016511, 49.8660489 ,
       49.81212613, 48.51412241, 49.61406197, 49.5993998 , 49.14933577,
       49.51878374]), array([49.36573892, 49.61566857, 49.94374085, 49.58076658, 49.5196536 ,
       49.91677402]), array([49.16617201, 48.32840762, 49.87100491, 48.26280528, 49.64378986,
       43.90776245, 48.96543372, 49.04054743, 48.7334212 , 49.43026375,
       49.75341642]), array([49.93611912, 49.31807035, 49.84664951, 48.26989038, 49.49055658,
       49.74947413, 49.58131947, 49.4163557 , 49.6823206 , 49.96516809,
       49.84205332, 49.95030138, 49.6761225 ]), array([49.39191975, 49.52416848, 49.81143403, 49.57996594, 49.60223174,
       47.30248638, 49.80248832, 49.74152823, 49.58145099, 49.14025667,
       48.06196942, 49.24934496, 49.98015684, 49.83987887, 49.58166529,
       46.33007942])]"
10,0.754,123,"[array([49.81238385, 49.57585269, 48.17088732, 47.72282216, 48.14123935,
       48.75697694, 49.71868064, 49.99617619, 49.13477522, 49.74732206,
       48.80603257, 49.18027296, 46.86197173, 49.91577273, 48.72370395,
       49.87699188, 47.21641893, 49.63554074, 48.83580198, 49.17014509,
       49.20575205, 49.94422365, 49.86269393, 49.58008413, 49.97798591,
       49.83929826]), array([49.3320082 , 49.76813373, 49.01552752, 49.86001092, 48.42867882,
       49.9038923 , 49.21895901, 48.87761484, 49.50488893, 49.73351766,
       48.93544857, 48.51060659, 48.87317563, 49.63355961, 49.70345472,
       49.08194706, 48.31082448, 49.43682927, 48.27730964, 49.03378014,
       49.51856446]), array([49.30445588, 49.55816975, 49.89673364, 48.29838285, 49.80203647,
       49.95050523, 49.60674194, 48.46125758, 48.89090633, 49.09565493,
       48.99896965, 48.58246382, 49.15880368, 49.30028769, 47.71063034,
       49.15780289, 49.80378365, 46.516585  , 47.40712907, 49.90299828,
       46.491007  , 49.23412953, 49.99472488, 49.53680097, 49.66404921,
       49.18752971, 49.83050151, 49.36825211, 49.68404906, 43.91073024,
       49.61428394]), array([49.46136681, 49.5821926 , 49.37708355, 48.94504518, 49.53910756,
       48.92012157, 49.8022972 , 49.77999962, 49.35629688, 49.77729017,
       48.63718054, 44.25824913, 48.53349304, 49.63551347, 49.80304641,
       47.68544374, 48.36461352, 47.45152171, 49.66139863, 49.34603844,
       49.36942057, 49.27487601]), array([49.8284667 , 49.77675073, 49.58913087, 49.315731  , 48.04777551,
       49.72392476, 47.74063838, 49.27576206, 39.5259844 , 49.69605988,
       49.64914146, 49.76158868, 49.65398533, 49.99306392, 44.60292426,
       49.64674919, 49.85814637, 46.3007243 , 48.66183766, 49.91692093,
       49.62985459, 49.27073715, 49.3230687 ])]"
12,0.704,148,"[array([48.85423526, 49.05818111, 48.68568508, 49.09707692, 49.43696841,
       49.32535966, 48.51251972, 47.80143829, 47.46558812, 49.90547383,
       49.03819743, 49.07274449, 48.35414022, 49.45827979, 47.63423882,
       49.26709407, 48.95084872, 49.96716641, 49.87509112, 49.8762121 ,
       47.26614773, 49.70770626, 48.75928228, 47.88470348, 49.49860257,
       49.65306857, 47.54714807, 49.88971086, 49.68413934, 48.36617131,
       49.1733766 , 48.63107463, 48.33347166, 48.03669591, 48.94254566,
       48.9805149 ]), array([49.56573658, 49.20869442, 49.25929022, 48.73448176, 49.21713128,
       49.14756274, 49.33387979, 47.60793996, 47.1420356 , 48.41026672,
       49.42367894, 49.20875159, 49.40337318, 46.80314055, 49.83701731,
       47.43208578, 48.8311639 , 48.59245378, 49.86691726, 48.26862847,
       49.28808844, 49.00348432, 47.82255971, 48.8599533 ]), array([49.18657318, 49.83118829, 47.99910783, 49.54072384, 49.70849691,
       49.78618916, 49.28922018, 48.90495727, 49.76141949, 48.85733628,
       48.0421224 , 49.01015306, 49.22021712, 48.89648505, 48.88521007,
       48.88680404, 49.46697915, 49.52060427, 48.38856982, 49.60424087,
       49.41627761, 49.70342268, 47.36594956, 49.89453418, 49.38708472,
       48.80040479, 49.8573639 , 47.36406989, 49.78871852, 48.56454886]), array([49.64565387, 48.77785049, 46.81406802, 48.99975752, 49.18724389,
       49.40764768, 49.5371352 , 48.38230593, 49.15881881, 45.71659085,
       47.7645497 , 48.44240501, 49.73151668, 49.00393817, 48.60262321,
       49.55727632, 49.71674548, 46.53836411, 49.74844338, 49.58069463,
       49.64350156, 48.93492269, 47.39843952, 48.08547992, 49.10482344,
       47.54439166, 46.95346119, 48.56307179, 48.90177039]), array([47.62913568, 49.78291709, 49.88680455, 48.75020135, 49.89061628,
       48.66523163, 48.7111146 , 48.43530198, 46.2532478 , 48.43021645,
       48.86442064, 48.7090287 , 48.41563532, 48.77401765, 49.70982964,
       48.82732762, 49.79859689, 49.96894927, 49.50801187, 49.63465883,
       48.75543814, 48.43363489, 49.44826459, 48.99772889, 49.32162819,
       49.86137138, 49.12412566, 47.88434956, 48.81469608])]"
14,0.58,210,"[array([49.8621753 , 49.42606383, 48.03551408, 48.68359189, 49.93260861,
       48.5445162 , 47.19249704, 48.36639622, 49.41261402, 47.80756235,
       48.99660248, 49.12685855, 47.06313809, 48.45578094, 49.25014903,
       49.49311285, 48.53990331, 49.25593647, 48.97395971, 48.16467005,
       49.53373703, 48.6466029 , 48.45363381, 49.35620231, 48.97454769,
       49.51984071, 49.18416029, 49.06332058, 48.41875163, 48.52531203,
       49.61366797, 48.81010792, 49.30155169, 49.03905295, 47.40554188,
       49.99201816, 47.39668408, 48.95777793, 48.84020769, 48.51844252,
       48.16391312, 49.20573885, 48.08447021, 49.72142522, 48.77597431,
       48.69485778, 49.36232968, 49.95827936]), array([49.2634689 , 49.03285015, 49.74111169, 48.80407111, 48.93963453,
       47.57646709, 48.12965167, 49.39167159, 49.65096444, 49.86028359,
       48.98897327, 49.69653827, 49.6414514 , 49.79819557, 46.75701104,
       47.16585821, 49.76923394, 48.98035257, 49.61780403, 48.89206048,
       48.78941582, 49.66218962, 49.72961651, 47.93446653, 48.7560573 ,
       49.18299715, 48.28665798, 48.34292796, 49.92386055, 48.30652803,
       48.97920393, 46.88810736, 49.43192492, 46.96772875, 48.30604761,
       49.85736791, 48.88638922]), array([47.8700472 , 47.80171734, 47.82492788, 48.68634551, 49.23679245,
       49.84424745, 49.50355404, 49.66936167, 49.09834751, 48.31600139,
       48.42199929, 46.70960982, 49.11680945, 49.6844781 , 49.97467879,
       48.80653505, 45.19920009, 49.53446829, 49.89949517, 49.40566743,
       47.80180895, 48.66511005, 47.25973392, 49.57531934, 49.40257475,
       48.9403234 , 49.19608428, 48.00861851, 48.65121335, 48.67703167,
       49.08020008, 44.57775356, 48.90020507, 48.50370248, 46.47991637,
       49.50977758, 48.91242518, 49.13504584, 46.57232365, 49.3667166 ,
       48.31504174, 49.2048458 , 49.7313011 , 48.56298916]), array([49.94192217, 49.95478809, 48.11963681, 48.27315618, 48.60230696,
       47.09418707, 49.959275  , 47.22698933, 48.41973353, 48.54481205,
       49.63127884, 48.71035075, 46.55410479, 49.96461633, 49.76621131,
       49.63658689, 47.11505261, 49.06000257, 47.73896824, 49.79513558,
       49.18271817, 49.6183338 , 46.92957889, 48.14382837, 49.39677655,
       49.20505071, 48.6558817 , 48.75791999, 45.40513402, 48.60244767,
       49.74094441, 47.88472667, 49.76553686, 49.53166735]), array([48.88306998, 48.16450002, 49.97412797, 49.32423859, 49.66821228,
       45.42050751, 49.43327165, 48.05317825, 47.82138927, 49.6280553 ,
       47.75766898, 49.83328477, 48.9652288 , 47.79344092, 49.57529449,
       49.67426293, 48.3783391 , 49.76475672, 48.64768343, 48.16547771,
       48.81236695, 48.56923458, 48.57346029, 49.14766123, 48.76515891,
       49.53461014, 48.7745495 , 49.64734622, 49.89108844, 49.83625308,
       49.03276867, 49.18507488, 49.15860485, 47.00286699, 48.36595422,
       45.98703403, 48.17463564, 49.39037716, 49.86377752, 49.76572955,
       48.33757619, 48.00046171, 49.37051104, 49.88295159, 48.30383879,
       47.92240874, 48.46122584])]"
16,0.568,216,"[array([47.0130486 , 49.59557941, 46.15665685, 48.18941862, 49.68818812,
       49.74822885, 48.59320835, 49.41539715, 47.62669056, 48.60547727,
       45.88499773, 49.34243992, 48.88501005, 49.17438356, 49.28018692,
       48.9742586 , 48.853128  , 49.32301055, 49.90633232, 49.22163046,
       47.39237658, 47.43587001, 47.83872505, 49.82331036, 48.29230719,
       48.14788473, 49.71505708, 49.43045873, 46.7412693 , 49.14100266,
       49.58240587, 48.44709992, 45.1757216 , 48.07084044, 49.46894157,
       48.57197038, 48.65587071, 49.07506169, 47.95121074, 49.97282322,
       48.44739147, 49.97702197, 49.44339983]), array([49.78842879, 49.13179524, 47.83521775, 49.28961713, 47.71958605,
       49.12591286, 49.50531354, 49.91648171, 49.50414883, 46.15261167,
       49.3761918 , 49.78127524, 49.77473429, 48.74718081, 46.67295877,
       48.08238437, 48.70810423, 46.35585222, 48.87369896, 49.63459687,
       49.09903401, 49.54367612, 49.44118564, 49.05775111, 48.89724412,
       48.10166986, 49.6065293 , 48.46010556, 46.50669589, 48.26137603,
       49.92272238, 48.30100711, 49.37337133, 49.62008973, 48.8159015 ,
       47.1939102 , 49.72408987, 48.59011378, 47.29941291, 48.28499989,
       47.02431257, 49.13231968, 49.66850866, 49.26282835, 46.36604406]), array([49.31543222, 49.0524008 , 48.07474628, 47.96459266, 45.85311287,
       49.79474153, 48.61684672, 48.8911707 , 47.50006814, 49.78772934,
       49.29975636, 48.08651297, 47.56382536, 49.95592014, 49.87901222,
       49.88145278, 48.53500937, 47.16655901, 21.85678232, 49.36125564,
       47.16880998, 47.29944113, 46.90633461, 48.44023025, 49.34646732,
       48.84715137, 48.58928924, 49.92788442, 49.03360206, 49.8463474 ,
       47.98291096, 48.30589131, 47.02555221, 49.09568415, 48.90923413,
       49.41063454, 48.31624513, 48.60478535, 47.11241054, 47.8612041 ]), array([49.27978517, 49.77508236, 46.50862392, 49.42715674, 49.46380723,
       49.04221679, 47.59126794, 47.19264064, 49.83789983, 47.13684601,
       48.42366723, 49.1016137 , 48.00876953, 49.92010312, 48.75726854,
       49.48674504, 47.65884651, 49.92595756, 49.12923878, 47.78484302,
       47.35428775, 48.01629625, 49.24517407, 48.02569195, 48.15669454,
       49.98737253, 49.17763214, 49.09299723, 49.25933342, 47.97148782,
       48.92616265, 47.76866027, 49.71802176, 49.61366945, 47.40408582,
       41.73610218, 47.22426997, 49.82357356, 49.84070329, 49.14150321]), array([49.15641801, 49.90653433, 47.49642661, 48.91134376, 48.79128519,
       49.16063494, 48.59511416, 49.1221511 , 48.11970835, 49.76427735,
       46.64032288, 46.15379861, 49.37636672, 47.96155402, 49.16094971,
       47.25354203, 48.2711778 , 46.15415994, 49.06034495, 49.36152705,
       48.55050102, 48.64016496, 48.39412986, 48.38195028, 49.73654759,
       47.85954203, 49.68963283, 49.0482441 , 49.54026502, 48.51189297,
       48.26285238, 47.96683729, 49.49155455, 47.42475877, 47.08097895,
       49.4183991 , 48.93224263, 48.92056904, 48.79819631, 47.2959472 ,
       49.6540584 , 49.18083978, 49.95245221, 48.9338312 , 49.32986868,
       48.44314643, 48.46517868, 49.87834514])]"
18,0.524,238,"[array([48.92510415, 49.19215713, 48.17949927, 49.0989481 , 47.93361373,
       49.27209226, 47.78093669, 49.93983179, 48.80200763, 48.04061612,
       47.89715285, 48.6405643 , 48.9146364 , 48.55501151, 47.45903865,
       46.94337588, 49.62076233, 48.36880981, 47.39293797, 49.07376977,
       49.51794379, 47.11343356, 49.63368732, 49.00641747, 48.1090707 ,
       48.45598826, 48.68947559, 47.66888126, 48.52032705, 48.11685931,
       48.73369683, 48.61975851, 47.01121649, 49.86965159, 48.0948851 ,
       48.69147403, 49.69797176, 46.20366246, 48.46315827, 49.74063997,
       48.36635568, 45.63075242, 47.17675453, 49.7878999 , 49.33455124,
       49.74670893]), array([47.82133708, 48.20059744, 49.63676727, 49.65175484, 47.04533676,
       48.19620552, 47.84489204, 48.1101944 , 49.97465594, 49.14373613,
       49.45836456, 49.25761909, 49.80020649, 49.49971152, 48.79907841,
       49.73456786, 47.971148  , 48.99410521, 49.60419254, 45.4504038 ,
       49.76217933, 46.58556807, 47.41322072, 49.05229326, 48.79255822,
       46.78395471, 46.8562953 , 47.62858193, 49.13945532, 49.82998801,
       47.60337017, 48.40076884, 49.89248421, 49.56957514, 49.50003931,
       47.86112041, 48.99975391, 47.15687328, 49.04410593, 48.76985902,
       48.07158986, 49.783359  , 47.49425327, 47.95259636, 49.1452309 ,
       47.40597027, 49.61059577, 48.00606243, 47.90145179, 43.82881017]), array([48.52774626, 48.75802655, 45.95387247, 48.94121427, 45.02600016,
       49.29530735, 49.70218152, 49.90246817, 49.7352891 , 47.93061616,
       49.11932363, 49.54212755, 48.6655459 , 48.45533536, 49.468637  ,
       49.02300663, 46.66629035, 48.05279909, 48.76986786, 47.98723015,
       47.66406985, 48.74692146, 48.00274003, 46.95890453, 47.14205619,
       49.06778118, 49.47533466, 49.58016614, 48.27338043, 47.78377873,
       48.61003306, 48.07085012, 49.765165  , 49.95206504, 47.89513506,
       49.70934526, 47.48703973, 48.94915852, 48.66022163, 45.64950028,
       48.08904192, 49.39147385, 49.42185209, 48.95903053, 48.93184339,
       48.63429144, 49.46645989, 48.80682637, 47.68275378]), array([49.68240544, 48.16250114, 49.68046366, 49.67408876, 49.67870818,
       48.57357714, 47.15386618, 49.35163291, 47.4385968 , 49.48096297,
       49.20756615, 48.08193499, 47.05101507, 47.58486252, 49.98547352,
       47.71796882, 46.60448239, 48.98767135, 49.7124732 , 47.64653691,
       48.93647685, 48.98682494, 48.48159986, 49.00261708, 48.20157278,
       49.50209312, 46.285207  , 49.26979085, 48.51834152, 48.16888388,
       48.95942029, 48.35089699, 49.4919336 , 49.25899971, 49.23139699,
       47.40641115, 49.5967726 , 46.26201296, 49.68392296, 49.73302587,
       49.5210046 , 49.9836996 , 46.9147173 , 48.88680805, 49.55279754,
       48.40276303, 49.44184468, 47.93473665, 49.16007723, 49.02771298,
       49.48087667, 49.72152821, 48.58713006]), array([49.41595348, 48.34697932, 49.35217994, 49.86833283, 49.23355223,
       49.37999313, 48.0981335 , 48.36804837, 49.23962779, 49.51096627,
       49.40928654, 48.06583513, 48.85470531, 47.26993167, 49.15671727,
       48.7019595 , 49.80068839, 46.94212009, 49.29228694, 47.3350897 ,
       49.06295258, 48.6647208 , 49.57176054, 49.11284679, 49.63454895,
       49.9044992 , 47.89170894, 47.06013369, 48.01021712, 47.63111918,
       48.01087461, 48.73781585, 48.25701769, 49.34884208, 48.18197706,
       47.61632844, 48.13178162, 49.13252785, 49.42235506, 48.12191194])]"
